generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1,-11.6853,1,0
2000,1,-1.18621,-11.142,0.64247,0.54
4000,1,-3.42218,-14.0153,2.03668,0.538
6000,0,-0.280859,-14.4913,0.280859,0.506
8000,0,-0.0234584,-11.3998,0.0234584,0.555
10000,0,-1.43307,-11.0432,1.43307,0.5675
12000,0,-0.0168664,-10.948,0.0168664,0.5055
14000,0,-0.207279,-11.2408,0.207279,0.545
16000,0,-0.388305,-14.3077,0.388305,0.6085
18000,0,-0.379756,-12.8226,0.379756,0.5605
20000,0,-0.830935,-10.8412,0.830935,0.524
22000,0,-0.61923,-10.6155,0.61923,0.5515
24000,0,-0.91804,-12.0365,0.91804,0.569
26000,0,-1.04284,-10.5436,1.04284,0.5475
28000,0,-1.16479,-12.8642,1.16479,0.537
30000,0,-1.08087,-10.6947,1.08087,0.5115
32000,0,-0.407909,-10.7032,0.407909,0.532
34000,0,-1.02303,-10.8506,1.02303,0.5175
36000,0,-0.902447,-10.8335,0.902447,0.5035
38000,1,-1.73454,-11.9659,1.31914,0.5675
40000,0,-0.00203778,-10.7299,0.00203778,0.5245
42000,0,-0.182776,-11.2957,0.182776,0.5375
44000,0,-0.510157,-10.3285,0.510157,0.578
46000,0,-0.0701762,-13.5452,0.0701762,0.591
48000,0,-0.228351,-11.515,0.228351,0.5395
50000,0,-0.105485,-11.2612,0.105485,0.6215
52000,0,-0.744878,-11.5478,0.744878,0.516
54000,0,-1.27039,-10.8345,1.27039,0.528
56000,0,-0.242147,-10.9643,0.242147,0.5445
58000,0,-1.03816,-11.1616,1.03816,0.508
60000,0,-0.221378,-12.7546,0.221378,0.5765
62000,0,-0.257833,-11.4086,0.257833,0.4925
64000,1,-0.029009,-11.5926,0.248761,0.553
66000,1,-0.202379,-10.8648,0.135011,0.5425
68000,0,-0.211692,-12.7846,0.211692,0.5265
70000,2,-1.43497,-14.4658,1.32315,0.571
72000,0,-0.215879,-11.8646,0.215879,0.6115
74000,0,-0.634792,-11.0344,0.634792,0.5545
76000,1,-4.11977,-11.3854,4.32617,0.5795
78000,0,-0.0605779,-14.7621,0.0605779,0.5815
80000,0,-1.36542,-14.0939,1.36542,0.5425
82000,0,-0.351551,-13.2615,0.351551,0.5325
84000,0,-0.679627,-11.1475,0.679627,0.5355
86000,0,-0.0337992,-11.6177,0.0337992,0.5575
88000,0,-0.360213,-10.9579,0.360213,0.529
90000,1,-1.04265,-13.405,0.625967,0.5535
92000,0,-0.507209,-11.5269,0.507209,0.5645
94000,0,-0.175007,-11.6155,0.175007,0.524
96000,1,-0.861201,-11.2048,1.45213,0.4995
98000,1,-0.169153,-11.1064,0.342608,0.5555
100000,0,-0.0915374,-11.5215,0.0915374,0.5465
102000,0,-1.7661,-12.7497,1.7661,0.517
104000,0,-0.345938,-11.6275,0.345938,0.5375
106000,1,-0.743437,-12.3608,0.511972,0.533
108000,1,-0.513352,-13.6676,0.339229,0.573
110000,0,-0.144068,-11.5522,0.144068,0.54
112000,1,-4.75492,-12.133,3.96093,0.5545
114000,0,-0.262389,-11.3114,0.262389,0.581
116000,1,-1.83941,-10.6134,1.77003,0.5275
118000,0,-1.2716,-12.5011,1.2716,0.5415
120000,0,-1.07168,-12.4519,1.07168,0.5905
122000,0,-1.26775,-10.6745,1.26775,0.5535
124000,0,-0.287279,-11.3593,0.287279,0.548
126000,0,-0.0529365,-11.7062,0.0529365,0.5535
128000,0,-0.495847,-14.1405,0.495847,0.528
130000,2,-5.23388,-14.036,2.12196,0.559
132000,0,-0.371434,-11.1192,0.371434,0.5275
134000,0,-0.233118,-14.1658,0.233118,0.5235
136000,0,-0.35196,-13.0913,0.35196,0.6545
138000,0,-1.03108,-10.7338,1.03108,0.5405
140000,0,-0.119326,-12.1204,0.119326,0.545
142000,0,-0.872077,-13.9099,0.872077,0.5075
144000,0,-0.351525,-11.7201,0.351525,0.565
146000,0,-0.230436,-10.46,0.230436,0.508
148000,0,-0.0972392,-14.4194,0.0972392,0.516
150000,0,-0.179162,-10.4856,0.179162,0.5635
152000,0,-0.591115,-11.9336,0.591115,0.635
154000,0,-0.11773,-10.9537,0.11773,0.5225
156000,0,-0.240063,-11.6938,0.240063,0.523
158000,0,-1.78484,-12.8176,1.78484,0.548
