generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,sp27,sp10,0,0.032,0,0.005,0
2000,sp27,sp10,0,0.195019,0,0.00425331,0
2000,sp11,NA,6.92059,0.293339,0,0.604993,0
4000,sp27,sp10,0,0.230337,0,0.243229,0
4000,sp11,NA,7.50881,0.97867,0,0.486971,0
6000,sp27,sp10,0,0.325838,0,0.322563,0
8000,sp27,sp10,0,0.122899,0,0.076359,0
10000,sp27,sp10,0,0.112693,0,0.0522429,0
12000,sp27,sp10,0,0.10341,0,0.0447205,0
14000,sp27,sp10,0,0.173269,0,0.0441727,0
16000,sp27,sp10,0,0.250895,0,0.296745,0
18000,sp27,sp10,0,0.272401,0,0.000138138,0
20000,sp27,sp10,0,0.0898055,0,0.0343457,0
22000,sp27,sp10,0,0.0642058,0,0.00759034,0
24000,sp27,sp10,0,0.233571,0,0.0399794,0
26000,sp27,sp10,0,0.0619416,0,0.00224019,0
28000,sp27,sp10,0,0.181633,0,0.182167,0
30000,sp27,sp10,0,0.0549869,0,0.00257133,0
32000,sp27,sp10,0,0.0871403,0,0.0256088,0
34000,sp27,sp10,0,0.058978,0,0.0138517,0
36000,sp27,sp10,0,0.150516,0,0.0227351,0
38000,sp27,sp10,0,0.260519,0,0.0547151,0
38000,sp10,NA,6.76168,0.121657,0,0.690176,0
40000,sp27,sp10,0,0.129791,0,0.0275544,0
42000,sp27,sp10,0,0.171124,0,0.0532474,0
44000,sp27,sp10,0,0.0851387,0,0.00350701,0
46000,sp27,sp10,0,0.109032,0,0.180767,0
48000,sp27,sp10,0,0.0488054,0,0.0299847,0
50000,sp27,sp10,0,0.140944,0,0.0665216,0
52000,sp27,sp10,0,0.206809,0,0.0174021,0
54000,sp27,sp10,0,0.159962,0,0.0103682,0
56000,sp27,sp10,0,0.17394,0,0.000533573,0
58000,sp27,sp10,0,0.144089,0,0.0577147,0
60000,sp27,sp10,0,0.0815804,0,0.121238,0
62000,sp27,sp10,0,0.116699,0,0.0756714,0
64000,sp27,sp10,0,0.18439,0,0.0253631,0
64000,sp10,NA,1.55125,0.0907041,0,0.293064,0
66000,sp27,sp10,0,0.0843384,0,0.00267333,0
66000,sp27,NA,6.64938,0.285844,0,0.291431,0
68000,sp27,sp10,0,0.0954816,0,0.135108,0
70000,sp27,sp10,0,0.375983,0,0.208895,0
70000,sp10,NA,2.23574,0.175855,0,0.0442614,0
70000,sp27,sp28,2.31479,0.570706,0,0.348285,0
72000,sp27,sp10,0,0.145548,0,0.109634,0
74000,sp27,sp10,0,0.177622,0,0.00345682,0
76000,sp27,sp10,0,0.0849541,0,0.0432803,0
76000,sp10,NA,5.15517,0.0905062,0,0.302258,0
78000,sp27,sp10,0,0.214727,0,0.308827,0
80000,sp27,sp10,0,0.336293,0,0.0280205,0
82000,sp27,sp10,0,0.0978938,0,0.158623,0
84000,sp27,sp10,0,0.0730855,0,0.0403279,0
