generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1,-0.284877,1,0
2000,0,-0.153424,-2.42038,0.153424,0.5975
4000,0,-0.615789,-4.2363,0.615789,0.67
6000,0,-0.428521,-2.03992,0.428521,0.6075
8000,0,-0.235499,-0.889245,0.235499,0.5665
10000,0,-2.419,-1.3779,2.419,0.651
12000,0,-0.127308,-0.425571,0.127308,0.6195
14000,0,-1.34027,-3.45299,1.34027,0.6085
16000,0,-0.209641,-1.00396,0.209641,0.5935
18000,2,-5.9583,-1.28713,1.40442,0.636
20000,1,-2.17074,-2.41553,1.46501,0.6745
22000,0,-0.530411,-2.71011,0.530411,0.673
24000,0,-0.127616,-0.978217,0.127616,0.5905
26000,0,-0.130947,-0.136955,0.130947,0.674
28000,0,-0.06446,-1.60659,0.06446,0.6045
30000,1,-3.08007,-0.909436,1.99815,0.576
32000,0,-0.115362,-1.60414,0.115362,0.616
34000,3,-4.2019,-2.95019,2.28293,0.6285
36000,0,-0.253406,-2.14371,0.253406,0.6405
38000,0,-0.517882,-3.36682,0.517882,0.67
40000,3,-3.39653,-3.02834,0.972245,0.641
42000,1,-0.493135,-0.885377,0.456019,0.603
44000,0,-0.193938,-0.699115,0.193938,0.5985
46000,0,-0.00493264,-1.29485,0.00493264,0.6305
48000,2,-2.3477,-0.947208,2.37194,0.5995
50000,0,-0.780157,-1.15186,0.780157,0.6235
52000,0,-0.327307,-0.853254,0.327307,0.594
54000,0,-0.486146,-1.99622,0.486146,0.6155
56000,0,-0.848733,-2.41361,0.848733,0.5925
58000,1,-0.941,-1.83113,0.786252,0.605
60000,0,-0.0910364,-1.39556,0.0910364,0.652
62000,7,-13.427,-5.82864,3.10799,0.63
64000,0,-0.361578,-1.55319,0.361578,0.6255
66000,0,-0.22136,-1.52804,0.22136,0.6685
68000,0,-0.929089,-0.308807,0.929089,0.676
70000,0,-1.10696,-1.35797,1.10696,0.657
72000,0,-0.678697,-0.581629,0.678697,0.6225
74000,0,-0.856412,-1.36387,0.856412,0.5965
76000,0,-0.576869,-1.88863,0.576869,0.6375
78000,0,-1.0031,-0.547261,1.0031,0.6445
80000,5,-10.0032,-3.66669,3.9599,0.659
82000,0,-0.0436391,-1.70689,0.0436391,0.674
