generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,sp49,sp30,0,0.032,0,0.005,0
2000,sp49,sp30,0,0.716164,0,0.541346,0
4000,sp49,sp30,0,0.37671,0,0.127847,0
6000,sp49,sp30,0,0.203116,0,0.886344,0
6000,sp30,NA,0.403036,2.99229,0,1.74095,0
6000,sp30,NA,1.50425,0.719103,0,3.41883,0
6000,sp49,sp50,0.111745,2.75984,0,1.87526,0
8000,sp49,sp30,0,0.856504,0,1.09703,0
10000,sp49,sp30,0,0.610071,0,0.323881,0
12000,sp49,sp30,0,0.160145,0,0.2835,0
12000,sp49,sp50,0.720198,1.58914,0,0.810827,0
14000,sp49,sp30,0,0.230924,0,0.337543,0
16000,sp49,sp30,0,0.00882679,0,0.570968,0
16000,sp49,sp50,0.828187,1.0978,0,2.24765,0
18000,sp49,sp30,0,1.29812,0,0.171344,0
20000,sp49,sp30,0,0.727075,0,0.432734,0
22000,sp49,sp30,0,1.43002,0,0.152182,0
24000,sp49,sp30,0,0.11479,0,0.4573,0
24000,sp49,sp50,1.33846,5.0145,0,2.00735,0
26000,sp49,sp30,0,2.7348,0,3.19376,0
26000,sp49,sp50,1.59501,2.37657,0,2.41369,0
26000,sp49,sp50,1.08232,0.15868,0,1.36744,0
26000,sp50,NA,1.69093,7.17743,0,0.52187,0
26000,sp49,sp50,0.196557,0.184137,0,0.849278,0
26000,sp49,sp50,0.853165,2.12898,0,3.03979,0
28000,sp49,sp30,0,1.21981,0,0.137492,0
28000,sp49,sp50,1.21395,0.279539,0,0.05928,0
28000,sp49,sp50,0.616639,2.25266,0,1.85229,0
30000,sp49,sp30,0,1.19213,0,0.0382947,0
32000,sp49,sp30,0,0.446339,0,0.236384,0
34000,sp49,sp30,0,0.580205,0,0.314692,0
36000,sp49,sp30,0,0.116289,0,0.720167,0
36000,sp30,NA,1.68931,1.75885,0,4.6391,0
36000,sp49,sp50,1.62281,5.87785,0,0.780614,0
36000,sp30,NA,1.60458,0.409947,0,3.37586,0
38000,sp49,sp30,0,0.443412,0,0.0574383,0
40000,sp49,sp30,0,3.52182,0,0.858127,0
