generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1,-0.285302,1,0
2000,3,-7.6028,-3.70247,1.41611,0.642
4000,0,-0.0324981,-1.06334,0.0324981,0.627
6000,0,-0.139003,-0.78561,0.139003,0.539
8000,0,-1.66016,-2.0956,1.66016,0.606
10000,0,-0.043309,-1.99837,0.043309,0.556
12000,1,-2.42167,-4.48391,0.268712,0.713
14000,0,-0.115842,-0.733146,0.115842,0.6735
16000,0,-0.756605,-0.32164,0.756605,0.643
18000,1,-2.74704,-4.79598,1.21614,0.614
20000,0,-1.39646,-3.35232,1.39646,0.7205
22000,0,-0.051129,-1.09611,0.051129,0.6395
24000,0,-0.349738,-2.69053,0.349738,0.665
26000,0,-0.434194,-1.2295,0.434194,0.608
28000,1,-5.18241,-0.648072,1.27963,0.635
30000,1,-2.97744,-3.55547,0.980922,0.702
32000,0,-1.17056,-1.73111,1.17056,0.5835
34000,1,-3.37656,-0.821608,1.71678,0.624
36000,2,-5.27275,-3.58821,0.672932,0.6545
38000,2,-3.05119,-0.678582,1.19048,0.605
40000,1,-0.67658,-3.03293,0.553698,0.653
42000,0,-0.511794,-1.17165,0.511794,0.591
44000,1,-3.60961,-2.68403,2.17673,0.639
46000,1,-1.07645,-2.73748,0.521246,0.6795
48000,0,-1.34328,-1.82855,1.34328,0.6245
50000,0,-1.18603,-4.13277,1.18603,0.628
52000,1,-1.64108,-5.5651,0.127068,0.625
54000,0,-1.70455,-0.318401,1.70455,0.643
56000,1,-1.17621,-0.810649,0.765734,0.608
58000,0,-0.207389,-0.373297,0.207389,0.598
60000,1,-2.08688,-1.353,2.31488,0.5705
62000,1,-2.52867,-1.82427,1.94791,0.6355
64000,0,-0.00233907,-2.86037,0.00233907,0.669
66000,1,-1.46027,-2.44047,1.03769,0.666
68000,0,-0.0368462,-0.450164,0.0368462,0.606
70000,3,-5.09447,-1.83422,0.923299,0.6785
72000,1,-1.33347,-1.1414,0.13473,0.6505
74000,3,-2.54963,-2.31844,2.22517,0.6355
76000,0,-0.436133,-0.499829,0.436133,0.6465
78000,1,-6.27151,-1.93722,0.630303,0.663
80000,0,-0.0107496,-3.52771,0.0107496,0.577
82000,1,-4.64916,-3.54344,3.22257,0.61
84000,0,-0.107925,-0.99215,0.107925,0.585
86000,1,-2.03447,-3.88835,0.200381,0.6815
88000,1,-1.34174,-2.33907,1.0065,0.62
90000,0,-0.469533,-2.3795,0.469533,0.5985
92000,0,-1.01932,-1.72349,1.01932,0.618
94000,0,-0.16834,-0.335711,0.16834,0.687
96000,0,-0.367118,-1.13425,0.367118,0.6925
98000,1,-0.289581,-3.87522,0.638788,0.6805
100000,0,-1.2623,-3.11256,1.2623,0.687
102000,0,-0.449663,-0.396706,0.449663,0.603
104000,0,-0.00300881,-3.40111,0.00300881,0.6425
106000,0,-0.768521,-1.08954,0.768521,0.592
108000,0,-0.335482,-1.12029,0.335482,0.6075
110000,0,-0.213863,-0.745381,0.213863,0.631
112000,0,-1.13655,-0.991053,1.13655,0.6025
114000,0,-0.455837,-1.60036,0.455837,0.64
116000,1,-0.737275,-1.17751,0.40659,0.65
118000,1,-1.50022,-2.97141,1.32249,0.5755
120000,1,-2.38546,-4.27482,0.323925,0.586
122000,0,-0.233256,-1.26191,0.233256,0.636
124000,0,-0.864423,-2.22299,0.864423,0.648
126000,0,-0.0415537,-0.833768,0.0415537,0.5865
128000,0,-0.40903,-2.83749,0.40903,0.5975
130000,0,-0.314232,-1.06661,0.314232,0.607
132000,0,-0.436249,-0.721894,0.436249,0.592
134000,1,-1.80836,-2.09525,1.18307,0.639
136000,1,-2.39984,-2.95751,1.50798,0.5915
138000,0,-0.0376969,-2.30962,0.0376969,0.607
140000,1,-1.44117,-2.81228,0.502249,0.608
142000,1,-3.92501,-2.54799,1.86711,0.674
144000,0,-0.00587889,-3.60233,0.00587889,0.6385
146000,2,0.327447,-0.738112,0.542704,0.614
148000,0,-0.308669,-2.69409,0.308669,0.6005
150000,1,-2.88829,-2.20753,1.54419,0.683
152000,1,-4.24804,-0.691063,1.55234,0.5905
154000,0,-1.18629,-0.750766,1.18629,0.633
156000,3,-2.65343,-2.66395,1.89121,0.681
158000,1,-1.14149,-0.349265,1.13844,0.6995
160000,1,-1.44914,-1.28657,1.28545,0.5895
162000,0,-0.807621,-2.36684,0.807621,0.668
164000,1,-4.30796,-1.50242,2.84126,0.6305
166000,0,-0.429823,-0.960458,0.429823,0.583
168000,0,-1.03132,-3.32049,1.03132,0.6105
170000,0,-0.494347,-1.40217,0.494347,0.6215
172000,0,-0.35563,-0.527925,0.35563,0.637
174000,1,-1.89009,-2.1887,0.554388,0.638
176000,1,-2.26993,-1.24446,1.45888,0.5785
178000,1,-3.3727,-3.32655,0.98335,0.574
180000,0,-0.0828892,-1.00705,0.0828892,0.5865
182000,0,-0.538658,-1.0828,0.538658,0.609
184000,0,-0.457829,-3.36107,0.457829,0.6065
186000,0,-0.567004,-0.562751,0.567004,0.662
188000,2,-0.95653,-2.63461,0.784511,0.607
190000,0,-0.00965697,-0.84133,0.00965697,0.7165
192000,1,-1.47986,-2.07739,0.609653,0.5875
194000,1,-1.52329,-3.29644,0.757886,0.669
196000,0,-1.11397,-0.478053,1.11397,0.598
198000,0,-0.518357,-4.62996,0.518357,0.6495
200000,1,-1.96391,-2.32213,0.366977,0.632
202000,1,-4.24267,-1.72081,1.25278,0.623
204000,1,-1.48104,-0.78914,1.33614,0.5845
206000,3,-5.76873,-1.74208,2.65749,0.6885
208000,0,-0.586349,-1.30542,0.586349,0.674
210000,0,-0.000109858,-1.70831,0.000109858,0.619
212000,0,-0.563574,-1.04406,0.563574,0.623
214000,0,-0.508372,-4.0461,0.508372,0.6055
216000,0,-2.45716,-1.6762,2.45716,0.555
218000,4,-9.09406,-3.886,1.74669,0.6695
220000,0,-0.184238,-2.63734,0.184238,0.6335
222000,0,-0.0620085,-3.12267,0.0620085,0.6915
224000,1,-0.766076,-0.255779,1.11713,0.598
226000,1,-3.06693,-2.59438,0.822091,0.566
228000,1,-2.48964,-2.01213,0.679132,0.6175
230000,0,-0.332171,-0.842622,0.332171,0.6335
232000,0,-0.250745,-1.19209,0.250745,0.586
234000,2,-3.38212,-2.8994,1.89809,0.643
236000,0,-0.521371,-0.750469,0.521371,0.738
238000,0,-0.583723,-0.839138,0.583723,0.6805
240000,0,-0.632088,-1.13311,0.632088,0.606
242000,3,-3.75458,-1.46781,0.549354,0.592
244000,2,-3.58693,-2.23985,1.17269,0.7275
246000,0,-0.175282,-0.455626,0.175282,0.607
248000,0,-0.618223,-1.57561,0.618223,0.5775
250000,0,-0.700984,-2.5362,0.700984,0.572
252000,2,-2.4644,-5.30888,0.592451,0.583
254000,0,-0.557228,-3.70682,0.557228,0.628
256000,0,-0.0962518,-1.70361,0.0962518,0.679
258000,0,-0.0938465,-1.52965,0.0938465,0.628
260000,1,-2.01634,-2.70668,1.11215,0.643
262000,0,-0.114806,-0.970393,0.114806,0.6235
264000,0,-0.679592,-1.48685,0.679592,0.6075
266000,0,-0.2825,-2.48461,0.2825,0.6035
268000,2,-3.99877,-3.6974,2.41154,0.623
270000,0,-0.123715,-0.629008,0.123715,0.695
272000,0,-0.102444,-0.973225,0.102444,0.582
274000,0,-0.683238,-0.386516,0.683238,0.608
276000,2,-1.66419,-2.00674,1.23594,0.696
278000,2,-5.10307,-1.26261,3.54399,0.649
280000,2,-3.68931,-1.84381,1.79732,0.6045
282000,0,-0.0931785,-1.99815,0.0931785,0.6025
284000,0,-0.583771,-3.14342,0.583771,0.5875
286000,0,-0.281599,-1.1764,0.281599,0.579
288000,0,-1.25904,-0.876413,1.25904,0.6135
290000,0,-0.0619093,-0.452923,0.0619093,0.618
292000,0,-1.07673,-3.16223,1.07673,0.581
294000,1,-1.00133,-1.89739,0.451215,0.6005
296000,0,-0.477747,-2.12668,0.477747,0.569
298000,0,-0.230294,-1.16293,0.230294,0.6345
300000,1,0.0176975,-2.64015,0.129014,0.6115
302000,0,-0.154099,-0.613889,0.154099,0.624
304000,0,-0.0350481,-1.09631,0.0350481,0.613
306000,0,-0.888845,-1.72107,0.888845,0.665
308000,5,-9.09748,-3.9189,2.09075,0.6645
310000,0,-0.664586,-1.45471,0.664586,0.6295
312000,0,-0.157874,-0.828789,0.157874,0.6425
314000,0,-0.890709,-2.36198,0.890709,0.607
316000,0,-0.10204,-3.40043,0.10204,0.649
318000,4,-6.33801,-3.94347,3.05525,0.663
320000,0,-0.874943,-0.35911,0.874943,0.655
322000,0,-0.423139,-0.630841,0.423139,0.5615
324000,1,-2.48784,-2.35478,1.20687,0.665
326000,1,-1.02727,-1.22013,1.22742,0.598
328000,0,-2.03001,-1.79311,2.03001,0.598
330000,0,-0.522538,-0.958366,0.522538,0.652
332000,1,-1.97162,-0.840581,1.04514,0.611
334000,0,-0.435885,-2.20322,0.435885,0.5905
336000,1,-1.41885,-2.27612,1.4881,0.622
338000,0,-0.856715,-1.53817,0.856715,0.616
340000,0,-0.773763,-0.885266,0.773763,0.5875
342000,0,-0.155588,-2.11943,0.155588,0.6385
344000,2,-3.01033,-2.77628,0.918171,0.645
346000,0,-0.348291,-1.88894,0.348291,0.631
348000,1,-3.72691,-3.66895,2.33946,0.611
350000,1,-4.7122,-3.10865,0.862825,0.645
352000,1,-0.518479,-1.48244,0.248584,0.6175
354000,0,-0.489244,-1.27225,0.489244,0.611
356000,2,-3.04927,-3.03397,0.387338,0.7205
358000,1,-4.48826,-2.7408,0.415544,0.6855
360000,2,-8.08069,-4.07328,0.604119,0.6055
362000,0,-0.623897,-0.550171,0.623897,0.632
364000,0,-0.458468,-0.607357,0.458468,0.5635
366000,0,-0.21251,-3.42049,0.21251,0.5655
368000,0,-1.3904,-2.10712,1.3904,0.611
370000,0,-0.462972,-0.666362,0.462972,0.6565
372000,0,-0.288077,-0.610793,0.288077,0.63
374000,1,-1.46356,-2.925,1.69483,0.6475
376000,4,-5.76267,-1.60909,2.50922,0.612
378000,0,-0.768305,-1.26709,0.768305,0.642
380000,0,-0.120129,-1.29374,0.120129,0.686
382000,2,-2.24475,-1.45243,1.24123,0.599
384000,0,-0.623488,-1.11145,0.623488,0.6695
386000,0,-0.10752,-1.79417,0.10752,0.631
