generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-0.254632,-13.081,0.254632,1
2000,0,-0.0573198,-15.3295,0.0573198,0.5595
4000,0,-0.030511,-15.2517,0.030511,0.556
6000,0,-0.50455,-13.5846,0.50455,0.6075
8000,0,-0.717815,-14.2954,0.717815,0.616
10000,0,-0.7076,-13.236,0.7076,0.5125
12000,0,-0.382394,-14.3207,0.382394,0.641
14000,0,-0.394994,-13.0455,0.394994,0.6125
16000,0,-1.33529,-13.3044,1.33529,0.5825
18000,0,-0.329789,-20.5353,0.329789,0.514
20000,1,1.48606,-15.4016,0.696122,0.599
22000,0,-0.1435,-14.8471,0.1435,0.5365
24000,2,3.01961,-12.8263,1.44236,0.6
26000,0,-0.234279,-16.3552,0.234279,0.599
28000,1,1.58117,-13.757,1.22663,0.5215
30000,0,-0.240196,-18.4154,0.240196,0.522
32000,2,4.12793,-12.4221,1.53349,0.5605
34000,0,-0.139259,-14.4119,0.139259,0.67
36000,0,-0.601103,-15.6342,0.601103,0.522
38000,0,-0.512971,-14.5684,0.512971,0.551
40000,0,-1.65998,-14.073,1.65998,0.5875
42000,0,-0.00459042,-13.5007,0.00459042,0.5225
44000,5,4.77534,-14.8911,2.03647,0.632
46000,1,0.878147,-15.4001,1.07754,0.632
48000,3,0.778256,-17.3895,2.13628,0.5825
50000,1,-0.122971,-13.0978,1.17729,0.546
52000,1,-1.52587,-13.7731,2.9176,0.538
54000,2,0.178051,-14.8025,2.16781,0.596
56000,0,-0.731705,-13.9479,0.731705,0.6245
58000,0,-0.328205,-14.9223,0.328205,0.5465
60000,0,-0.120978,-13.076,0.120978,0.53
62000,0,-0.524228,-12.9628,0.524228,0.5685
64000,1,1.99052,-13.191,0.647352,0.558
66000,1,1.92403,-13.6187,0.361822,0.5735
68000,1,-0.587734,-14.2617,2.77209,0.6065
70000,0,-0.814166,-13.0489,0.814166,0.619
72000,0,-1.08221,-14.5007,1.08221,0.56
74000,0,-0.957925,-14.1325,0.957925,0.54
76000,1,0.780876,-13.6006,1.65869,0.591
78000,0,-0.58282,-13.4285,0.58282,0.5605
80000,0,-0.126911,-15.3806,0.126911,0.508
82000,1,0.318937,-13.9546,0.875153,0.525
84000,1,1.10711,-17.1969,1.26983,0.5945
86000,0,-2.09866,-14.1664,2.09866,0.5505
88000,0,-1.05386,-13.8523,1.05386,0.56
90000,0,-0.180192,-13.8573,0.180192,0.548
92000,1,-2.5984,-15.8135,0.598926,0.5495
94000,1,1.52747,-14.2847,0.746626,0.5425
96000,0,-2.52546,-13.3499,2.52546,0.6065
98000,0,-0.480734,-14.8491,0.480734,0.61
100000,1,-0.77006,-15.8222,1.83726,0.537
102000,0,-1.05491,-14.4242,1.05491,0.518
104000,0,-0.457989,-15.3961,0.457989,0.5905
106000,0,-0.328079,-13.24,0.328079,0.5535
108000,0,-0.446403,-13.4575,0.446403,0.5075
110000,0,-0.819267,-14.2813,0.819267,0.6125
112000,0,-0.1884,-13.6891,0.1884,0.576
114000,0,-0.815055,-13.6104,0.815055,0.55
116000,0,-0.981759,-14.6524,0.981759,0.5225
118000,1,0.193971,-17.4487,1.91202,0.535
120000,0,-0.947627,-17.159,0.947627,0.574
122000,0,-0.247228,-14.4624,0.247228,0.5435
124000,0,-0.637172,-14.9208,0.637172,0.606
126000,6,6.28518,-15.6623,1.37653,0.6555
128000,0,-0.245331,-13.9496,0.245331,0.5485
130000,2,2.72547,-13.4187,2.29425,0.5925
132000,0,-0.910525,-13.4755,0.910525,0.5775
134000,0,-0.460045,-13.5971,0.460045,0.5875
136000,1,1.60744,-13.6223,1.29717,0.594
138000,0,-0.991358,-15.8733,0.991358,0.5645
140000,0,-0.65476,-13.8865,0.65476,0.5485
142000,0,-1.8509,-13.3428,1.8509,0.5725
144000,0,-0.169738,-13.3912,0.169738,0.6285
146000,0,-0.0835462,-13.7444,0.0835462,0.6375
148000,0,-0.368926,-13.1374,0.368926,0.4925
150000,1,1.27438,-14.3266,0.496868,0.5815
152000,0,-0.336491,-13.2345,0.336491,0.603
154000,0,-0.369259,-15.4424,0.369259,0.5145
156000,1,0.168256,-14.2232,0.763359,0.6535
158000,0,-0.790889,-13.5394,0.790889,0.536
160000,0,-0.142421,-13.7086,0.142421,0.5115
162000,1,-1.76079,-16.7496,0.880114,0.6015
164000,0,-0.623388,-13.1977,0.623388,0.5695
166000,0,-0.455899,-14.2905,0.455899,0.569
168000,1,-0.154006,-15.8739,0.701541,0.6245
170000,0,-0.0274501,-13.6916,0.0274501,0.535
172000,1,0.407541,-14.5865,0.777312,0.621
174000,0,-0.170562,-14.4605,0.170562,0.574
176000,0,-0.171217,-13.1719,0.171217,0.515
178000,1,0.567513,-13.979,1.23469,0.5525
180000,0,-0.0348005,-14.2183,0.0348005,0.5715
182000,0,-0.419873,-14.8626,0.419873,0.5455
184000,0,-1.36618,-15.888,1.36618,0.528
186000,0,-1.85875,-14.1397,1.85875,0.575
188000,0,-0.646107,-13.6498,0.646107,0.524
190000,0,-1.43718,-13.4133,1.43718,0.494
192000,0,-0.0332866,-12.9964,0.0332866,0.575
194000,0,-1.12218,-13.6178,1.12218,0.556
196000,0,-0.303104,-13.2532,0.303104,0.553
198000,0,-0.0513457,-14.1442,0.0513457,0.5415
200000,0,-0.0913419,-13.4364,0.0913419,0.6255
202000,0,-1.39249,-13.9688,1.39249,0.5375
204000,0,-1.61503,-14.4832,1.61503,0.553
206000,0,-0.142618,-15.8655,0.142618,0.522
208000,0,-1.40399,-16.4847,1.40399,0.5935
210000,0,-0.370516,-13.4828,0.370516,0.5305
212000,0,-0.106197,-17.564,0.106197,0.493
214000,0,-0.905674,-12.9691,0.905674,0.53
216000,0,-0.00590295,-13.3752,0.00590295,0.554
218000,0,-0.673441,-14.4625,0.673441,0.592
220000,0,-1.79673,-13.3984,1.79673,0.538
222000,0,-0.126926,-13.2618,0.126926,0.5475
224000,0,-0.708878,-14.8209,0.708878,0.522
226000,1,-1.94931,-15.1738,1.64824,0.589
228000,1,0.121655,-13.8305,1.38657,0.5285
230000,0,-1.67845,-13.3407,1.67845,0.498
232000,0,-1.33254,-13.6729,1.33254,0.544
234000,2,3.8988,-13.6765,0.841283,0.5975
236000,4,2.6564,-15.3052,1.461,0.6485
238000,1,-0.465678,-14.8744,1.8037,0.5885
240000,1,1.78081,-12.6135,0.639561,0.5365
242000,0,-0.982765,-16.6227,0.982765,0.5875
244000,1,0.532072,-14.5936,0.853802,0.5805
246000,0,-0.474877,-13.1586,0.474877,0.542
248000,0,-0.341509,-16.1443,0.341509,0.5025
250000,0,-0.320231,-13.8179,0.320231,0.5445
252000,0,-0.0194832,-12.8598,0.0194832,0.58
254000,0,-0.0841546,-16.7157,0.0841546,0.488
256000,0,-0.238027,-14.0615,0.238027,0.533
258000,1,1.5279,-13.6597,0.511474,0.555
260000,0,-0.503848,-13.7977,0.503848,0.631
262000,2,1.48166,-15.0512,2.43849,0.545
264000,1,1.81254,-13.8586,0.333264,0.585
266000,0,-0.0213419,-15.2419,0.0213419,0.57
268000,0,-1.23261,-13.5504,1.23261,0.5205
270000,0,-0.158544,-15.5487,0.158544,0.546
272000,0,-0.130182,-15.611,0.130182,0.543
274000,0,-0.664661,-13.4943,0.664661,0.557
276000,0,-0.393908,-16.9522,0.393908,0.5305
278000,1,-2.0137,-15.651,4.19509,0.5725
280000,0,-0.0928165,-12.9356,0.0928165,0.5865
282000,0,-0.348407,-13.5874,0.348407,0.6115
284000,0,-1.64493,-14.5128,1.64493,0.536
286000,0,-0.72721,-14.515,0.72721,0.573
288000,0,-0.372102,-15.6167,0.372102,0.5525
290000,0,-1.39966,-12.9191,1.39966,0.584
292000,0,-0.11365,-13.8505,0.11365,0.5595
294000,0,-0.185057,-14.5671,0.185057,0.5775
296000,0,-0.615727,-13.0336,0.615727,0.571
298000,0,-0.212251,-14.128,0.212251,0.5615
300000,0,-0.307113,-17.7631,0.307113,0.549
302000,0,-0.0333521,-14.4656,0.0333521,0.6005
304000,0,-1.33301,-13.6179,1.33301,0.5735
306000,3,1.50502,-14.1365,1.94581,0.5535
308000,0,-0.511424,-12.9897,0.511424,0.5705
310000,3,4.20471,-15.1335,2.40937,0.562
312000,0,-0.390155,-13.0789,0.390155,0.667
314000,3,1.4776,-16.163,1.19092,0.559
316000,3,0.294199,-13.4338,1.74208,0.643
318000,1,-3.12107,-14.4152,1.17214,0.639
320000,1,0.642051,-14.5157,2.1099,0.544
322000,0,-1.68513,-14.4159,1.68513,0.5705
324000,2,1.80788,-16.6739,1.42462,0.618
326000,0,-0.212052,-15.866,0.212052,0.542
328000,0,-0.311793,-13.4646,0.311793,0.558
330000,1,1.19055,-17.1343,1.33994,0.5575
332000,1,-1.17274,-15.0066,2.26128,0.5165
334000,0,-0.501347,-13.2207,0.501347,0.535
336000,0,-0.405405,-13.8381,0.405405,0.494
338000,1,-2.98615,-16.7316,1.2782,0.5465
340000,0,-0.0617968,-13.4457,0.0617968,0.571
342000,0,-0.504443,-15.2169,0.504443,0.577
344000,0,-0.000516929,-13.0678,0.000516929,0.506
346000,0,-0.173945,-14.6394,0.173945,0.4985
348000,2,3.50953,-14.5831,0.545107,0.5865
350000,0,-0.0656687,-13.5675,0.0656687,0.634
352000,0,-1.06084,-13.8549,1.06084,0.5765
354000,0,-1.77155,-15.0248,1.77155,0.532
356000,0,-0.000793312,-13.9477,0.000793312,0.534
358000,0,-0.410516,-12.8463,0.410516,0.539
360000,0,-0.59168,-15.8456,0.59168,0.568
362000,0,-0.800472,-13.7871,0.800472,0.5475
364000,0,-0.166452,-13.4308,0.166452,0.587
366000,0,-0.0498799,-13.8295,0.0498799,0.5355
368000,0,-0.0602255,-13.5787,0.0602255,0.5865
370000,0,-0.610839,-18.006,0.610839,0.5205
372000,0,-0.493881,-13.5481,0.493881,0.5505
374000,0,-0.0954736,-14.0771,0.0954736,0.5325
376000,0,-0.584941,-13.5725,0.584941,0.5115
378000,1,-0.76707,-13.7426,3.45375,0.5295
380000,0,-0.370636,-13.4292,0.370636,0.5455
382000,0,-0.181802,-13.2744,0.181802,0.576
384000,0,-0.498699,-15.848,0.498699,0.546
386000,0,-0.433726,-13.3999,0.433726,0.5605
388000,0,-0.888374,-14.1407,0.888374,0.5245
390000,0,-0.473336,-14.2652,0.473336,0.533
392000,1,1.96465,-13.747,0.494155,0.519
394000,0,-2.2401,-13.39,2.2401,0.497
396000,0,-0.483143,-14.1871,0.483143,0.628
398000,0,-0.199968,-13.7582,0.199968,0.598
400000,0,-0.141001,-14.4371,0.141001,0.5295
402000,0,-0.799601,-13.5071,0.799601,0.563
404000,0,-0.208935,-14.4083,0.208935,0.5315
406000,0,-0.0462815,-13.7346,0.0462815,0.5215
408000,4,4.79733,-17.9238,2.4781,0.563
410000,0,-1.11285,-16.4877,1.11285,0.5765
412000,0,-0.201077,-13.1996,0.201077,0.5735
414000,1,1.58125,-14.4783,1.06114,0.5615
416000,1,0.657815,-11.7285,1.2898,0.6255
418000,1,0.60177,-12.8928,0.719668,0.609
420000,0,-0.194155,-13.9899,0.194155,0.5615
422000,0,-0.745973,-13.611,0.745973,0.517
424000,1,1.93853,-16.9467,0.265145,0.6115
426000,0,-0.133928,-15.0887,0.133928,0.5665
428000,0,-0.144308,-13.5702,0.144308,0.5725
430000,0,-1.60361,-13.6805,1.60361,0.5195
432000,0,-0.485725,-16.3823,0.485725,0.5905
434000,0,-0.237956,-13.0898,0.237956,0.5225
436000,1,2.49059,-13.0668,0.16638,0.5805
438000,0,-0.522073,-14.9404,0.522073,0.5645
440000,1,-0.862907,-11.8241,1.74598,0.5435
442000,0,-2.53537,-14.3399,2.53537,0.618
444000,0,-0.00749677,-14.9829,0.00749677,0.4825
446000,0,-1.22099,-15.5817,1.22099,0.5545
448000,0,-0.148993,-15.7212,0.148993,0.5305
450000,1,-0.408728,-12.5365,1.32113,0.548
452000,0,-0.432799,-14.6726,0.432799,0.5215
454000,0,-0.839929,-13.2191,0.839929,0.5105
456000,0,-0.92986,-13.8762,0.92986,0.518
458000,0,-0.611615,-15.574,0.611615,0.51
460000,0,-0.491078,-13.9579,0.491078,0.574
462000,0,-0.123183,-13.0812,0.123183,0.5085
464000,0,-0.748562,-15.8067,0.748562,0.5335
466000,0,-0.0527653,-12.9913,0.0527653,0.55
468000,0,-0.0384521,-14.0179,0.0384521,0.533
470000,2,3.4888,-17.0114,1.32519,0.571
472000,0,-0.548299,-16.2138,0.548299,0.623
474000,0,-0.0389007,-13.5589,0.0389007,0.5305
476000,0,-1.09579,-13.2584,1.09579,0.5195
478000,0,-1.12267,-13.8489,1.12267,0.5475
480000,0,-0.284179,-14.0818,0.284179,0.5295
482000,0,-0.294661,-13.241,0.294661,0.5415
484000,1,1.0516,-13.3169,1.03076,0.59
486000,0,-0.215318,-13.6437,0.215318,0.5475
488000,1,-1.4451,-14.634,2.40784,0.5495
490000,1,0.193073,-13.7445,2.30875,0.5595
492000,1,2.04971,-13.3017,0.723058,0.553
494000,0,-0.260444,-15.1411,0.260444,0.6255
496000,0,-0.169024,-14.4772,0.169024,0.5195
498000,0,-0.0197324,-13.016,0.0197324,0.596
500000,0,-0.345938,-13.0786,0.345938,0.5245
502000,1,1.4687,-14.3866,0.632406,0.6525
504000,0,-0.270465,-13.0809,0.270465,0.5205
506000,0,-0.355441,-14.8197,0.355441,0.5735
508000,0,-0.0252072,-13.5391,0.0252072,0.611
510000,0,-0.452179,-14.2677,0.452179,0.54
512000,0,-0.579173,-15.2042,0.579173,0.516
514000,0,-0.522137,-14.2641,0.522137,0.578
516000,0,-0.087204,-13.9258,0.087204,0.523
518000,0,-0.367398,-13.8609,0.367398,0.5795
520000,0,-0.0417081,-14.1658,0.0417081,0.544
522000,0,-1.12565,-17.1108,1.12565,0.6335
