generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1,-8.49858,1,1
2000,1,-0.846039,-6.40923,0.152063,0.622
4000,0,-0.0196209,-6.62246,0.0196209,0.608
6000,0,-0.685074,-8.07698,0.685074,0.551
8000,0,-0.308681,-6.66401,0.308681,0.6945
10000,0,-0.875352,-5.90726,0.875352,0.533
12000,1,-1.91757,-7.78774,1.46862,0.571
14000,3,-5.54802,-5.93394,0.774797,0.6425
16000,0,-0.329558,-7.44456,0.329558,0.663
18000,1,-0.586616,-8.71987,0.0449418,0.681
20000,1,-4.95827,-9.3979,3.56929,0.663
22000,0,-1.43988,-7.35831,1.43988,0.593
24000,0,-0.265386,-7.19997,0.265386,0.566
26000,0,-1.06643,-6.65349,1.06643,0.5475
28000,0,-1.53078,-7.28472,1.53078,0.5775
30000,0,-0.751649,-7.01135,0.751649,0.5905
32000,0,-0.171144,-6.01591,0.171144,0.61
34000,0,-1.01385,-7.25057,1.01385,0.578
36000,4,-7.97008,-6.88282,4.92785,0.658
38000,1,-0.946479,-7.91991,0.731416,0.6405
40000,0,-0.306325,-6.1012,0.306325,0.65
42000,0,-0.00353568,-6.85478,0.00353568,0.5115
44000,0,-0.122001,-7.32985,0.122001,0.601
46000,0,-1.10621,-6.50037,1.10621,0.638
48000,1,-1.88036,-6.10116,0.857271,0.6145
50000,0,-0.0115023,-6.39667,0.0115023,0.584
52000,0,-0.26809,-6.22399,0.26809,0.578
54000,0,-0.720723,-6.61845,0.720723,0.556
56000,1,-1.1017,-8.57374,0.875272,0.541
58000,0,-0.00795033,-6.41408,0.00795033,0.559
60000,0,-1.39471,-6.98187,1.39471,0.5645
62000,0,-0.780883,-7.36358,0.780883,0.6095
64000,0,-0.647369,-7.08515,0.647369,0.6655
66000,1,-2.51875,-5.49849,1.62748,0.573
68000,0,-0.00313324,-6.45983,0.00313324,0.6195
70000,0,-0.149291,-9.55231,0.149291,0.5505
72000,0,-0.0946984,-7.04302,0.0946984,0.5785
74000,0,-0.7148,-6.34251,0.7148,0.619
76000,0,-0.924533,-7.25723,0.924533,0.563
78000,1,-1.89557,-6.79558,0.877014,0.6165
80000,0,-0.960563,-7.3911,0.960563,0.548
82000,0,-1.01533,-6.05062,1.01533,0.5325
84000,0,-0.601959,-9.93982,0.601959,0.5405
86000,3,-2.11375,-6.93735,0.835211,0.558
88000,0,-0.421831,-6.86451,0.421831,0.6315
90000,0,-1.05567,-7.20452,1.05567,0.6035
