generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,sp33,sp38,0,0.032,0,0.005,0
2000,sp33,sp38,0,0.393251,0,0.0033584,0
4000,sp33,sp38,0,0.210739,0,0.162374,0
6000,sp33,sp38,0,0.79269,0,0.789215,0
8000,sp33,sp38,0,0.205238,0,0.0638842,0
10000,sp33,sp38,0,0.532562,0,0.350044,0
10000,sp33,sp34,3.46774,0.27181,0,0.0177058,0
12000,sp33,sp38,0,0.497101,0,0.182226,0
12000,sp33,sp34,3.99442,0.301211,0,0.307783,0
14000,sp33,sp38,0,0.393203,0,0.320343,0
16000,sp33,sp38,0,0.233855,0,0.03255,0
18000,sp33,sp38,0,0.657088,0,0.0707948,0
18000,sp33,sp34,3.88768,0.216691,0,1.28414,0
18000,sp33,sp34,4.23506,0.303631,0,0.0187366,0
20000,sp33,sp38,0,0.343007,0,0.127493,0
22000,sp33,sp38,0,0.203791,0,0.0698914,0
24000,sp33,sp38,0,0.279548,0,0.0593889,0
26000,sp33,sp38,0,0.608052,0,0.234406,0
28000,sp33,sp38,0,0.300798,0,0.0714253,0
30000,sp33,sp38,0,0.770613,0,0.478831,0
32000,sp33,sp38,0,0.289588,0,0.0147656,0
34000,sp33,sp38,0,0.338363,0,0.354965,0
36000,sp33,sp38,0,0.44214,0,0.330124,0
36000,sp34,NA,6.17813,2.41379,0,0.107673,0
36000,sp38,sp39,3.89549,1.2903,0,1.91279,0
38000,sp33,sp38,0,0.23531,0,0.172024,0
38000,sp37,NA,5.35056,1.22628,0,1.1781,0
38000,sp47,sp48,6.20766,3.61748,0,1.97094,0
40000,sp33,sp38,0,0.463859,0,0.359236,0
42000,sp33,sp38,0,0.627147,0,0.0217513,0
44000,sp33,sp38,0,0.160561,0,0.235402,0
46000,sp33,sp38,0,0.281177,0,0.0880674,0
48000,sp33,sp38,0,0.216969,0,0.0246976,0
50000,sp33,sp38,0,0.525254,0,0.016147,0
52000,sp33,sp38,0,0.379938,0,0.052027,0
54000,sp33,sp38,0,0.789835,0,0.547138,0
56000,sp33,sp38,0,0.428972,0,0.152332,0
58000,sp33,sp38,0,0.202877,0,0.0954184,0
58000,sp34,NA,6.05056,0.0327005,0,1.28938,0
60000,sp33,sp38,0,0.310649,0,0.0388038,0
62000,sp33,sp38,0,0.83066,0,0.391444,0
64000,sp33,sp38,0,0.371955,0,0.0146335,0
66000,sp33,sp38,0,0.417323,0,0.023525,0
68000,sp33,sp38,0,0.283346,0,0.106626,0
70000,sp33,sp38,0,0.497553,0,0.312551,0
72000,sp33,sp38,0,0.313799,0,0.0981675,0
72000,sp38,NA,6.35425,1.27574,0,1.747,0
74000,sp33,sp38,0,0.273659,0,0.134525,0
76000,sp33,sp38,0,0.262383,0,0.00361938,0
78000,sp33,sp38,0,0.283943,0,0.0434946,0
80000,sp33,sp38,0,0.331356,0,0.0201751,0
82000,sp33,sp38,0,0.396699,0,0.190039,0
84000,sp33,sp38,0,0.450288,0,0.333742,0
86000,sp33,sp38,0,0.347172,0,0.00107699,0
88000,sp33,sp38,0,0.655272,0,0.131425,0
90000,sp33,sp38,0,0.229203,0,0.0986468,0
92000,sp33,sp38,0,0.435382,0,0.0336959,0
94000,sp33,sp38,0,0.410218,0,0.107833,0
96000,sp33,sp38,0,0.289375,0,0.116915,0
98000,sp33,sp38,0,0.340465,0,0.0775359,0
100000,sp33,sp38,0,0.147355,0,0.0254927,0
100000,sp37,NA,5.9877,0.112507,0,1.23501,0
100000,sp37,NA,6.37265,1.56662,0,1.22846,0
100000,sp47,sp37,3.04829,0.547722,0,0.236285,0
102000,sp33,sp38,0,0.624145,0,0.351718,0
104000,sp33,sp38,0,0.311435,0,0.108973,0
106000,sp33,sp38,0,0.190878,0,0.0655196,0
108000,sp33,sp38,0,0.272964,0,0.0198685,0
110000,sp33,sp38,0,0.423664,0,0.0755312,0
112000,sp33,sp38,0,0.687654,0,0.171167,0
112000,sp33,sp34,4.59832,0.328683,0,1.17491,0
114000,sp33,sp38,0,0.308778,0,0.270702,0
116000,sp33,sp38,0,0.827529,0,0.111161,0
116000,sp38,sp39,4.97088,1.02169,0,1.54986,0
118000,sp33,sp38,0,0.610675,0,0.582476,0
120000,sp33,sp38,0,0.221576,0,0.0649017,0
120000,sp47,NA,6.33659,1.528,0,0.0952815,0
122000,sp33,sp38,0,0.419108,0,0.0867661,0
124000,sp33,sp38,0,0.482769,0,0.282584,0
126000,sp33,sp38,0,0.543002,0,0.171477,0
128000,sp33,sp38,0,0.236455,0,0.0154867,0
128000,sp47,sp37,4.97374,0.632073,0,0.340194,0
130000,sp33,sp38,0,0.295431,0,0.149808,0
130000,sp33,sp34,2.97989,0.852789,0,0.631326,0
