generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1,-21.8057,1,0
2000,0,-0.148835,-14.3369,0.148835,0.519
4000,0,-0.119078,-15.6172,0.119078,0.492
6000,0,-0.0168895,-17.4273,0.0168895,0.5565
8000,0,-0.150084,-14.7012,0.150084,0.5645
10000,1,-1.93898,-15.3305,1.41035,0.483
12000,1,-1.86078,-14.7483,1.05392,0.5
14000,0,-1.63435,-15.4732,1.63435,0.519
16000,0,-0.874073,-14.2162,0.874073,0.485
18000,2,-5.69093,-15.6851,3.55015,0.518
20000,0,-0.390507,-14.447,0.390507,0.497
22000,0,-0.188415,-14.7722,0.188415,0.5
24000,0,-1.49041,-14.196,1.49041,0.5055
26000,0,-0.0471885,-15.6669,0.0471885,0.486
28000,0,-0.753965,-14.2193,0.753965,0.508
30000,0,-1.34861,-16.5188,1.34861,0.5805
32000,0,-0.254519,-13.9806,0.254519,0.5355
34000,0,-0.0964488,-16.1562,0.0964488,0.511
36000,2,-6.11456,-18.7795,0.576147,0.551
38000,2,-7.98309,-16.4407,0.469305,0.5545
40000,0,-0.127593,-15.5096,0.127593,0.551
42000,0,-1.41714,-16.5408,1.41714,0.5315
44000,0,-0.251668,-17.6573,0.251668,0.55
46000,0,-0.107846,-14.3543,0.107846,0.543
48000,0,-0.0804613,-14.2728,0.0804613,0.488
50000,0,-0.357645,-15.4295,0.357645,0.496
52000,0,-0.332175,-14.2991,0.332175,0.519
54000,0,-0.336686,-16.627,0.336686,0.459
56000,0,-0.587325,-14.6628,0.587325,0.479
58000,1,-2.0004,-15.4683,0.572528,0.511
60000,0,-0.00459519,-14.0813,0.00459519,0.489
62000,0,-0.0966718,-17.111,0.0966718,0.5095
64000,0,-0.322821,-14.2186,0.322821,0.518
66000,0,-0.0378635,-14.4916,0.0378635,0.5485
68000,0,-1.20079,-14.4613,1.20079,0.4885
70000,0,-0.198458,-15.2756,0.198458,0.5355
72000,1,-3.76731,-14.9351,0.858359,0.4785
74000,0,-0.160991,-14.7051,0.160991,0.515
76000,0,-0.339296,-13.9496,0.339296,0.4795
78000,0,-0.131319,-14.1072,0.131319,0.5325
80000,0,-0.175432,-14.0642,0.175432,0.487
82000,0,-0.133796,-14.718,0.133796,0.552
84000,0,-0.385539,-15.3869,0.385539,0.508
86000,0,-0.734734,-14.0855,0.734734,0.4945
88000,0,-0.303125,-16.3589,0.303125,0.5065
90000,0,-1.4899,-14.7597,1.4899,0.4975
92000,0,-0.22851,-14.6119,0.22851,0.4975
94000,0,-0.0463613,-14.5105,0.0463613,0.511
96000,0,-0.262967,-14.5029,0.262967,0.525
98000,0,-0.57784,-14.2482,0.57784,0.5005
100000,3,-7.11758,-14.3273,1.9976,0.4805
102000,0,-1.37883,-15.7395,1.37883,0.583
104000,0,-0.155505,-14.3921,0.155505,0.465
106000,0,-0.0151252,-14.8945,0.0151252,0.5255
108000,0,-1.47279,-14.0105,1.47279,0.4815
110000,0,-2.40741,-14.5367,2.40741,0.5115
112000,1,-4.13701,-16.0527,2.55106,0.4935
114000,0,-0.685949,-15.5976,0.685949,0.4915
116000,1,-3.33593,-18.5886,0.81991,0.504
118000,0,-0.119246,-16.5576,0.119246,0.564
120000,1,-5.71334,-15.0634,4.02316,0.501
122000,0,-0.470737,-14.5217,0.470737,0.5355
124000,0,-0.0723418,-15.1504,0.0723418,0.528
126000,0,-0.0964775,-15.2701,0.0964775,0.499
128000,1,-2.10155,-13.1653,0.978323,0.507
130000,1,-2.55943,-15.5867,0.99045,0.488
132000,0,-0.449106,-15.0146,0.449106,0.572
134000,0,-0.326073,-14.4227,0.326073,0.508
136000,1,-1.88807,-14.3002,0.94117,0.5365
138000,0,-0.216537,-14.4197,0.216537,0.499
140000,0,-0.117597,-14.9512,0.117597,0.5265
142000,1,-2.28582,-15.4359,0.659025,0.5285
144000,0,-1.44433,-16.3663,1.44433,0.484
146000,0,-1.12022,-15.1051,1.12022,0.455
148000,0,-1.18555,-16.7265,1.18555,0.533
150000,0,-0.112528,-14.8356,0.112528,0.502
152000,0,-0.232851,-16.7354,0.232851,0.526
154000,0,-0.386121,-14.2778,0.386121,0.4765
156000,0,-0.0823109,-14.9326,0.0823109,0.514
158000,1,-1.56157,-16.3371,0.730504,0.4985
160000,1,-1.86244,-16.8091,0.920051,0.532
162000,0,-0.183046,-15.982,0.183046,0.5375
164000,0,-0.203705,-15.6084,0.203705,0.53
166000,0,-0.790879,-13.9446,0.790879,0.5295
168000,0,-0.726478,-16.2811,0.726478,0.479
170000,0,-0.428667,-14.1603,0.428667,0.478
172000,0,-0.0671761,-14.7162,0.0671761,0.5105
174000,0,-1.67298,-14.8417,1.67298,0.5095
176000,1,-1.62692,-15.8388,0.504537,0.5555
178000,0,-1.36844,-14.5607,1.36844,0.506
180000,1,-1.6987,-14.5308,0.326865,0.54
182000,1,-1.84924,-15.1087,0.963306,0.515
184000,0,-0.240202,-14.2522,0.240202,0.5085
186000,0,-2.36201,-14.4567,2.36201,0.5125
188000,0,-0.749541,-15.142,0.749541,0.478
190000,0,-0.220241,-15.5377,0.220241,0.48
192000,0,-1.8229,-15.3712,1.8229,0.5205
194000,0,-0.593626,-15.1317,0.593626,0.482
196000,0,-0.409678,-14.389,0.409678,0.4865
198000,0,-0.226243,-17.1456,0.226243,0.544
200000,0,-0.300326,-14.3165,0.300326,0.4795
202000,1,-1.99977,-15.739,1.16309,0.4835
204000,0,-0.318955,-14.6093,0.318955,0.511
206000,0,-0.0487755,-14.2155,0.0487755,0.512
208000,0,-0.372842,-14.5576,0.372842,0.474
210000,0,-0.080002,-14.9615,0.080002,0.587
212000,0,-0.00628218,-15.8886,0.00628218,0.522
214000,1,-2.12846,-15.4145,0.294804,0.523
216000,0,-1.93326,-14.8837,1.93326,0.5255
218000,0,-0.343665,-15.1145,0.343665,0.4825
220000,0,-0.0529135,-16.2625,0.0529135,0.4645
222000,0,-0.509381,-15.374,0.509381,0.5035
224000,1,-2.34429,-16.349,1.15447,0.5555
226000,0,-0.322652,-14.5374,0.322652,0.5325
228000,0,-0.00664984,-17.1891,0.00664984,0.4605
230000,0,-0.175063,-14.4191,0.175063,0.514
232000,0,-0.389263,-21.1648,0.389263,0.472
234000,0,-0.0175092,-17.5781,0.0175092,0.5
236000,0,-0.549623,-14.8992,0.549623,0.4875
238000,2,-2.97286,-16.4313,0.276302,0.5295
240000,0,-0.036968,-14.633,0.036968,0.552
242000,3,-9.90031,-17.1038,1.5051,0.5025
244000,0,-0.735469,-15.6813,0.735469,0.603
246000,0,-2.34469,-20.234,2.34469,0.4595
248000,0,-0.0138551,-14.4374,0.0138551,0.4975
250000,0,-0.0666591,-15.4437,0.0666591,0.5315
252000,0,-0.43933,-15.4135,0.43933,0.476
254000,0,-0.422538,-14.4277,0.422538,0.5195
256000,0,-0.328084,-15.1418,0.328084,0.6575
258000,0,-0.279872,-14.3862,0.279872,0.5155
260000,0,-0.413916,-14.3263,0.413916,0.5025
262000,1,-3.46555,-15.8795,2.69932,0.551
264000,0,-0.18345,-14.0204,0.18345,0.4925
266000,0,-2.02708,-14.4177,2.02708,0.642
268000,0,-0.122021,-15.7205,0.122021,0.5525
270000,0,-0.588833,-14.8778,0.588833,0.5035
272000,0,-0.316661,-14.3337,0.316661,0.4855
274000,0,-0.661706,-15.4514,0.661706,0.4745
276000,0,-0.322815,-15.4955,0.322815,0.5145
278000,0,-0.3041,-14.2272,0.3041,0.5155
280000,1,-1.49238,-14.7516,0.531003,0.5665
282000,2,-5.18594,-16.0071,0.833973,0.567
284000,0,-0.166478,-15.2319,0.166478,0.5265
286000,0,-0.0968957,-14.4327,0.0968957,0.554
288000,1,-2.27024,-13.8017,1.30869,0.464
290000,0,-0.325365,-15.0204,0.325365,0.553
292000,0,-0.0623998,-15.2309,0.0623998,0.5095
294000,0,-0.0748528,-14.2092,0.0748528,0.4865
296000,0,-0.155638,-14.502,0.155638,0.491
298000,1,-1.80824,-14.6619,0.878058,0.509
300000,0,-0.793885,-15.454,0.793885,0.5475
302000,0,-0.0376423,-14.1858,0.0376423,0.48
304000,0,-1.8135,-17.9555,1.8135,0.4875
306000,0,-0.148186,-15.4919,0.148186,0.5375
308000,0,-0.2058,-14.5629,0.2058,0.505
310000,0,-1.05793,-16.2794,1.05793,0.4875
312000,0,-0.92289,-16.9879,0.92289,0.52
314000,1,-1.77179,-17.3405,0.869162,0.509
316000,0,-0.173677,-14.197,0.173677,0.5565
318000,0,-0.540372,-14.0243,0.540372,0.5395
320000,0,-0.362428,-15.0059,0.362428,0.5015
322000,0,-0.0973929,-15.6486,0.0973929,0.4635
324000,0,-0.371928,-16.771,0.371928,0.5135
326000,0,-1.66372,-15.0719,1.66372,0.5065
328000,0,-0.419915,-16.649,0.419915,0.4665
330000,0,-0.226074,-14.5786,0.226074,0.4935
332000,0,-0.0522704,-14.7927,0.0522704,0.532
334000,2,-4.31713,-13.2251,2.38606,0.4975
336000,1,-0.544461,-16.0119,0.0378408,0.535
338000,0,-0.114347,-14.6942,0.114347,0.5145
340000,0,-0.0400743,-16.4305,0.0400743,0.4725
342000,0,-0.386035,-15.1722,0.386035,0.5095
344000,0,-0.459828,-14.5984,0.459828,0.472
346000,0,-0.318684,-14.8097,0.318684,0.509
348000,0,-1.24582,-15.6657,1.24582,0.5165
350000,0,-0.764396,-14.505,0.764396,0.513
352000,0,-0.209504,-17.3084,0.209504,0.4945
354000,1,-3.75175,-14.5788,0.696644,0.4975
356000,2,-4.54707,-16.3546,1.62747,0.5365
358000,0,-0.0476228,-15.2062,0.0476228,0.5455
360000,1,-2.82879,-15.344,2.12968,0.559
362000,0,-1.31762,-14.438,1.31762,0.4885
364000,1,-0.880106,-14.8946,0.0761101,0.5395
366000,0,-0.000685047,-14.6212,0.000685047,0.5065
368000,0,-0.884093,-16.2738,0.884093,0.483
370000,0,-0.505708,-14.1499,0.505708,0.545
372000,0,-0.437707,-14.6553,0.437707,0.5085
374000,0,-0.852292,-15.4252,0.852292,0.51
376000,4,-9.89576,-16.5401,3.85151,0.4945
378000,1,-4.86803,-15.452,1.13015,0.604
380000,0,-0.314071,-14.6909,0.314071,0.495
382000,0,-0.430904,-16.1242,0.430904,0.492
384000,0,-0.419049,-14.7816,0.419049,0.516
386000,1,-2.04082,-15.818,0.837371,0.51
388000,3,-5.21615,-15.7548,1.07351,0.5915
390000,1,-1.95458,-14.4634,0.165527,0.6195
392000,0,-0.673557,-16.8054,0.673557,0.5485
394000,0,-0.829581,-14.7543,0.829581,0.479
396000,0,-0.0244196,-15.1484,0.0244196,0.5315
398000,0,-0.454463,-15.0152,0.454463,0.5385
400000,0,-1.47392,-14.8318,1.47392,0.499
402000,0,-1.47111,-14.6352,1.47111,0.49
404000,0,-0.142743,-14.2601,0.142743,0.488
406000,0,-0.321274,-14.2679,0.321274,0.526
408000,0,-0.31351,-14.6834,0.31351,0.5095
410000,0,-0.0895193,-15.3884,0.0895193,0.486
412000,0,-0.509246,-15.4026,0.509246,0.5235
414000,0,-0.948649,-15.7962,0.948649,0.4675
416000,0,-0.394209,-19.0473,0.394209,0.536
418000,1,-5.13244,-15.9321,2.62854,0.496
420000,0,-2.33794,-13.9397,2.33794,0.5405
422000,0,-0.0698656,-14.1202,0.0698656,0.5055
424000,2,-4.02911,-14.2657,2.48721,0.4685
426000,0,-0.603895,-15.2242,0.603895,0.537
428000,0,-0.331017,-15.4843,0.331017,0.4925
430000,0,-0.362991,-14.1912,0.362991,0.504
432000,0,-0.284976,-14.4643,0.284976,0.519
434000,1,-2.35602,-15.809,1.34997,0.564
436000,0,-0.217256,-14.7382,0.217256,0.593
438000,2,-3.33979,-16.065,1.20665,0.459
440000,3,-9.63051,-19.1193,3.67306,0.5595
442000,0,-1.0729,-14.5091,1.0729,0.5635
444000,0,-0.102377,-15.3785,0.102377,0.5165
446000,0,-0.297552,-14.3223,0.297552,0.492
448000,0,-1.00194,-14.4953,1.00194,0.533
450000,0,-0.951822,-15.4503,0.951822,0.481
452000,0,-0.44546,-16.123,0.44546,0.5355
454000,1,-4.37861,-18.7379,2.00671,0.581
456000,0,-0.428302,-14.5911,0.428302,0.507
458000,0,-0.224952,-15.2488,0.224952,0.4885
460000,1,-1.8457,-17.0559,0.928099,0.5255
462000,2,-2.84028,-15.4889,0.703173,0.5895
464000,0,-0.303021,-14.3805,0.303021,0.539
466000,0,-0.804291,-15.3487,0.804291,0.4635
468000,0,-0.322925,-15.2275,0.322925,0.4835
470000,0,-0.741594,-14.5549,0.741594,0.5265
472000,0,-0.479623,-18.227,0.479623,0.473
474000,1,-2.50036,-13.644,0.80761,0.656
476000,0,-0.488432,-14.5773,0.488432,0.501
478000,0,-0.0921082,-14.018,0.0921082,0.532
480000,1,-1.55809,-16.6415,0.480773,0.4675
482000,1,-1.36964,-14.4981,1.01549,0.5295
484000,1,-3.38555,-14.3701,2.78078,0.67
486000,0,-1.19455,-14.132,1.19455,0.5225
488000,0,-0.533946,-17.1461,0.533946,0.4855
490000,1,-2.08796,-14.3024,1.17685,0.5025
492000,0,-0.355734,-14.3676,0.355734,0.61
494000,0,-0.986279,-14.286,0.986279,0.4835
496000,0,-1.7479,-14.8856,1.7479,0.5295
498000,0,-0.525882,-14.5262,0.525882,0.499
500000,0,-1.0033,-15.808,1.0033,0.509
502000,0,-1.39123,-14.8449,1.39123,0.521
504000,0,-0.116267,-16.6295,0.116267,0.5835
506000,0,-0.192241,-15.9334,0.192241,0.515
