generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,sp40,sp3,0,0.0348862,0,0.005,0
2000,sp40,sp3,0,0.125697,0,0.00974836,0
4000,sp40,sp3,0,0.0389531,0,0.01633,0
6000,sp40,sp3,0,0.141485,0,0.015371,0
8000,sp40,sp3,0,0.0731024,0,0.00118945,0
10000,sp40,sp3,0,0.198042,0,0.101467,0
12000,sp40,sp3,0,0.0391919,0,0.0510288,0
12000,sp40,sp19,6.74804,0.0627789,0,0.148391,0
14000,sp40,sp3,0,0.152515,0,0.0655659,0
16000,sp40,sp3,0,0.0774508,0,0.0358588,0
18000,sp40,sp3,0,0.0614371,0,0.00972257,0
20000,sp40,sp3,0,0.159268,0,0.00543332,0
20000,sp3,NA,13.7641,0.113499,0,0.0530613,0
22000,sp40,sp3,0,0.0640181,0,0.0349819,0
24000,sp40,sp3,0,0.0771327,0,0.0311439,0
26000,sp40,sp3,0,0.164413,0,0.0807721,0
28000,sp40,sp3,0,0.127744,0,0.00191696,0
30000,sp40,sp3,0,0.150052,0,0.0194556,0
32000,sp40,sp3,0,0.110779,0,0.0943599,0
34000,sp40,sp3,0,0.116897,0,0.165096,0
36000,sp40,sp3,0,0.101729,0,0.0192131,0
38000,sp40,sp3,0,0.157578,0,0.0247692,0
40000,sp40,sp3,0,0.152234,0,0.0625982,0
42000,sp40,sp3,0,0.145608,0,0.149236,0
44000,sp40,sp3,0,0.092109,0,0.0382941,0
46000,sp40,sp3,0,0.0917895,0,0.0368839,0
46000,sp3,NA,14.9819,0.0586788,0,0.285476,0
48000,sp40,sp3,0,0.157967,0,0.00300631,0
48000,sp3,NA,11.6925,0.410691,0,0.60456,0
48000,sp3,NA,11.8333,0.0564977,0,0.618191,0
48000,sp8,NA,15.1493,0.151853,0,0.150942,0
50000,sp40,sp3,0,0.158991,0,0.0441895,0
52000,sp40,sp3,0,0.0642035,0,0.0367008,0
54000,sp40,sp3,0,0.215072,0,0.0240185,0
54000,sp3,NA,4.13068,0.0647729,0,0.0274984,0
54000,sp41,NA,15.2047,0.0859289,0,0.138872,0
56000,sp40,sp3,0,0.123809,0,0.131093,0
58000,sp40,sp3,0,0.0876074,0,0.0886222,0
60000,sp40,sp3,0,0.113069,0,0.0431684,0
62000,sp40,sp3,0,0.106717,0,0.034346,0
64000,sp40,sp3,0,0.12711,0,0.0137975,0
64000,sp3,NA,14.3889,0.307501,0,0.689835,0
66000,sp40,sp3,0,0.161568,0,0.0151699,0
66000,sp20,NA,14.9121,0.11008,0,0.347654,0
68000,sp40,sp3,0,0.0613048,0,0.039464,0
70000,sp40,sp3,0,0.0446122,0,0.0474687,0
72000,sp40,sp3,0,0.0846983,0,0.0640786,0
74000,sp40,sp3,0,0.111919,0,0.0306035,0
76000,sp40,sp3,0,0.14608,0,0.00565751,0
78000,sp40,sp3,0,0.160908,0,0.142326,0
80000,sp40,sp3,0,0.355783,0,0.148099,0
80000,sp3,NA,12.1991,0.37195,0,0.471999,0
80000,sp19,NA,12.572,0.0133177,0,0.28589,0
80000,sp40,NA,14.4308,0.217501,0,0.0519765,0
82000,sp40,sp3,0,0.34908,0,0.205006,0
84000,sp40,sp3,0,0.105925,0,0.0136415,0
84000,sp40,NA,15.1858,0.0524366,0,0.119425,0
86000,sp40,sp3,0,0.0866381,0,0.013442,0
88000,sp40,sp3,0,0.0490931,0,0.00111955,0
90000,sp40,sp3,0,0.098703,0,0.00530237,0
92000,sp40,sp3,0,0.0555351,0,0.0577959,0
94000,sp40,sp3,0,0.0627303,0,0.00974786,0
96000,sp40,sp3,0,0.111287,0,0.00342272,0
98000,sp40,sp3,0,0.0704346,0,0.0202009,0
100000,sp40,sp3,0,0.0788488,0,0.08337,0
102000,sp40,sp3,0,0.0971223,0,0.0508108,0
104000,sp40,sp3,0,0.115343,0,0.124426,0
104000,sp20,NA,11.068,0.549404,0,0.980778,0
104000,sp20,NA,13.6678,0.065603,0,0.673166,0
104000,sp41,NA,15.1161,0.132117,0,0.577685,0
106000,sp40,sp3,0,0.172278,0,0.147841,0
108000,sp40,sp3,0,0.120595,0,0.231814,0
108000,sp3,NA,3.09018,0.0865268,0,0.0665902,0
108000,sp40,sp8,3.87462,0.609155,0,0.487082,0
110000,sp40,sp3,0,0.130127,0,0.0044164,0
110000,sp3,NA,3.62979,0.408814,0,0.469169,0
112000,sp40,sp3,0,0.149728,0,0.0845149,0
114000,sp40,sp3,0,0.0903344,0,0.0258898,0
116000,sp40,sp3,0,0.0630632,0,0.0138604,0
118000,sp40,sp3,0,0.140726,0,0.0476725,0
120000,sp40,sp3,0,0.166222,0,0.076648,0
122000,sp40,sp3,0,0.131158,0,0.111831,0
124000,sp40,sp3,0,0.101172,0,0.00650871,0
126000,sp40,sp3,0,0.0880733,0,0.114335,0
126000,sp19,NA,12.3189,0.188585,0,0.411359,0
128000,sp40,sp3,0,0.0959849,0,0.038537,0
130000,sp40,sp3,0,0.053549,0,0.0304819,0
132000,sp40,sp3,0,0.0865628,0,0.090132,0
132000,sp40,sp8,1.33679,0.823401,0,0.906242,0
132000,sp40,sp8,5.14425,0.196315,0,0.0806825,0
134000,sp40,sp3,0,0.145982,0,0.0351264,0
136000,sp40,sp3,0,0.12598,0,0.0323287,0
136000,sp3,NA,13.0239,0.0494043,0,0.85522,0
138000,sp40,sp3,0,0.0365,0,0.0102129,0
140000,sp40,sp3,0,0.0730104,0,0.0129813,0
140000,sp3,NA,7.05773,0.0876948,0,0.0862954,0
142000,sp40,sp3,0,0.134481,0,0.0977827,0
144000,sp40,sp3,0,0.101245,0,0.0500819,0
146000,sp40,sp3,0,0.127673,0,0.025862,0
148000,sp40,sp3,0,0.15992,0,0.100047,0
148000,sp19,sp20,7.83742,0.291859,0,0.0525283,0
150000,sp40,sp3,0,0.0649605,0,0.0214987,0
150000,sp8,NA,13.1438,0.144961,0,0.598247,0
152000,sp40,sp3,0,0.145053,0,0.00833123,0
152000,sp3,NA,10.3976,0.550813,0,0.261252,0
154000,sp40,sp3,0,0.0729192,0,0.0161841,0
156000,sp40,sp3,0,0.0832733,0,0.00678674,0
158000,sp40,sp3,0,0.0714753,0,0.0781236,0
160000,sp40,sp3,0,0.169115,0,0.11246,0
162000,sp40,sp3,0,0.0749358,0,0.0122884,0
164000,sp40,sp3,0,0.0821088,0,0.00266712,0
166000,sp40,sp3,0,0.0622405,0,0.00607075,0
168000,sp40,sp3,0,0.0853376,0,0.0878153,0
170000,sp40,sp3,0,0.0531161,0,0.00429548,0
172000,sp40,sp3,0,0.118786,0,0.0456493,0
174000,sp40,sp3,0,0.127736,0,0.0704774,0
176000,sp40,sp3,0,0.12292,0,0.0674006,0
178000,sp40,sp3,0,0.0791679,0,0.0162374,0
180000,sp40,sp3,0,0.0860036,0,0.0687858,0
182000,sp40,sp3,0,0.220023,0,0.0235114,0
184000,sp40,sp3,0,0.127284,0,0.0241873,0
184000,sp40,sp41,12.5698,0.144125,0,0.0586599,0
186000,sp40,sp3,0,0.156772,0,0.0422517,0
186000,sp3,NA,12.1155,0.214282,0,0.0307908,0
188000,sp40,sp3,0,0.0497231,0,0.00133103,0
190000,sp40,sp3,0,0.157562,0,0.0221195,0
192000,sp40,sp3,0,0.206287,0,0.0715155,0
194000,sp40,sp3,0,0.0985431,0,0.0236176,0
196000,sp40,sp3,0,0.172793,0,0.0846934,0
198000,sp40,sp3,0,0.0468054,0,0.0225824,0
200000,sp40,sp3,0,0.210149,0,0.113888,0
202000,sp40,sp3,0,0.133752,0,0.0737756,0
204000,sp40,sp3,0,0.144432,0,0.00896631,0
206000,sp40,sp3,0,0.152089,0,0.0445305,0
206000,sp40,sp8,3.41546,0.0836917,0,0.00672272,0
208000,sp40,sp3,0,0.0418129,0,0.0680504,0
210000,sp40,sp3,0,0.101058,0,0.0738241,0
212000,sp40,sp3,0,0.088631,0,0.00244779,0
214000,sp40,sp3,0,0.167164,0,0.184529,0
216000,sp40,sp3,0,0.368108,0,0.144702,0
216000,sp3,NA,11.2855,0.41366,0,0.652834,0
218000,sp40,sp3,0,0.169852,0,0.080399,0
220000,sp40,sp3,0,0.0944378,0,0.0366931,0
222000,sp40,sp3,0,0.0461618,0,0.0451637,0
224000,sp40,sp3,0,0.0940146,0,0.0314188,0
224000,sp20,NA,15.4787,0.0676125,0,0.134008,0
226000,sp40,sp3,0,0.118869,0,0.00849708,0
226000,sp3,NA,13.8294,0.121029,0,0.505801,0
228000,sp40,sp3,0,0.157529,0,0.111664,0
230000,sp40,sp3,0,0.0597428,0,0.00381932,0
232000,sp40,sp3,0,0.0962552,0,0.05784,0
234000,sp40,sp3,0,0.115566,0,0.0900874,0
236000,sp40,sp3,0,0.0815309,0,0.0152278,0
238000,sp40,sp3,0,0.0779,0,0.00652223,0
240000,sp40,sp3,0,0.106825,0,0.0103255,0
240000,sp3,NA,8.39736,0.243774,0,0.0951262,0
242000,sp40,sp3,0,0.0978892,0,0.0480225,0
244000,sp40,sp3,0,0.070465,0,0.0103832,0
246000,sp40,sp3,0,0.0454113,0,0.0461641,0
248000,sp40,sp3,0,0.0800435,0,0.00399064,0
250000,sp40,sp3,0,0.0975901,0,0.00654299,0
252000,sp40,sp3,0,0.0606498,0,0.0253984,0
254000,sp40,sp3,0,0.179747,0,0.0695449,0
254000,sp3,NA,13.4511,0.0830441,0,1.02126,0
256000,sp40,sp3,0,0.0640838,0,0.00966552,0
256000,sp3,NA,8.2518,0.0337018,0,0.156973,0
258000,sp40,sp3,0,0.0411716,0,0.0322696,0
258000,sp40,sp41,7.01508,0.227183,0,0.0127784,0
260000,sp40,sp3,0,0.0931887,0,0.016981,0
262000,sp40,sp3,0,0.204234,0,0.0149175,0
264000,sp40,sp3,0,0.215872,0,0.0948382,0
266000,sp40,sp3,0,0.139856,0,0.115344,0
266000,sp40,sp41,12.045,0.109464,0,0.0588414,0
268000,sp40,sp3,0,0.0753056,0,0.0250259,0
270000,sp40,sp3,0,0.0926325,0,0.00979734,0
272000,sp40,sp3,0,0.0715814,0,0.00822737,0
274000,sp40,sp3,0,0.0851742,0,0.0391767,0
276000,sp40,sp3,0,0.0155292,0,0.0106976,0
276000,sp8,NA,14.1721,0.198875,0,0.208939,0
278000,sp40,sp3,0,0.166947,0,0.0956003,0
280000,sp40,sp3,0,0.145542,0,0.0808611,0
282000,sp40,sp3,0,0.0938092,0,0.0696547,0
284000,sp40,sp3,0,0.162581,0,0.06901,0
286000,sp40,sp3,0,0.208113,0,0.18061,0
288000,sp40,sp3,0,0.0701089,0,0.0250302,0
290000,sp40,sp3,0,0.157236,0,0.048138,0
290000,sp19,sp20,9.00401,0.199314,0,0.100991,0
290000,sp3,NA,14.3954,0.065414,0,0.162767,0
292000,sp40,sp3,0,0.141566,0,0.0148802,0
294000,sp40,sp3,0,0.0616197,0,0.0309995,0
296000,sp40,sp3,0,0.0947497,0,0.00268018,0
298000,sp40,sp3,0,0.0432027,0,0.0353459,0
300000,sp40,sp3,0,0.0841406,0,0.000616021,0
302000,sp40,sp3,0,0.0601493,0,0.00972511,0
304000,sp40,sp3,0,0.150167,0,0.0028411,0
306000,sp40,sp3,0,0.0970808,0,0.0397587,0
308000,sp40,sp3,0,0.112528,0,0.0281838,0
310000,sp40,sp3,0,0.193287,0,0.0425636,0
312000,sp40,sp3,0,0.150135,0,0.044303,0
314000,sp40,sp3,0,0.173967,0,0.0137241,0
316000,sp40,sp3,0,0.0874105,0,0.0205573,0
318000,sp40,sp3,0,0.221742,0,0.0740668,0
320000,sp40,sp3,0,0.0582088,0,0.0229004,0
320000,sp41,NA,15.1894,0.40307,0,0.23804,0
322000,sp40,sp3,0,0.117187,0,0.0539254,0
324000,sp40,sp3,0,0.260998,0,0.120297,0
326000,sp40,sp3,0,0.0821215,0,0.00282184,0
328000,sp40,sp3,0,0.146763,0,0.0904727,0
328000,sp40,sp19,6.85404,0.1753,0,0.0379874,0
330000,sp40,sp3,0,0.0803773,0,0.0760095,0
332000,sp40,sp3,0,0.151198,0,0.119803,0
334000,sp40,sp3,0,0.122864,0,0.156307,0
336000,sp40,sp3,0,0.0541596,0,0.0142562,0
338000,sp40,sp3,0,0.124239,0,0.00250837,0
340000,sp40,sp3,0,0.178132,0,0.041339,0
340000,sp19,sp20,8.91465,0.137769,0,0.0156472,0
340000,sp40,sp41,14.3994,0.131707,0,0.302708,0
342000,sp40,sp3,0,0.110739,0,0.0458797,0
344000,sp40,sp3,0,0.098136,0,0.0754811,0
346000,sp40,sp3,0,0.0981196,0,0.00240598,0
348000,sp40,sp3,0,0.13116,0,0.060597,0
350000,sp40,sp3,0,0.184624,0,0.0898792,0
352000,sp40,sp3,0,1.38093,0,0.86096,0
352000,sp3,NA,6.64757,0.0275417,0,0.454264,0
352000,sp40,sp8,0.849584,0.145723,0,0.170505,0
354000,sp40,sp3,0,0.153961,0,0.0300076,0
356000,sp40,sp3,0,0.173147,0,0.0112414,0
358000,sp40,sp3,0,0.0260537,0,0.0241754,0
358000,sp20,NA,15.1554,0.234443,0,0.0955291,0
360000,sp40,sp3,0,0.182906,0,0.163592,0
362000,sp40,sp3,0,0.403249,0,0.398655,0
364000,sp40,sp3,0,0.0738756,0,0.0409518,0
364000,sp40,sp41,11.3267,0.405688,0,0.0280441,0
366000,sp40,sp3,0,0.229628,0,0.207799,0
366000,sp19,sp20,10.2423,0.145967,0,0.0445756,0
368000,sp40,sp3,0,0.155085,0,0.0188236,0
370000,sp40,sp3,0,0.093931,0,0.000685052,0
372000,sp40,sp3,0,0.140614,0,0.0580355,0
374000,sp40,sp3,0,0.186479,0,0.125006,0
376000,sp40,sp3,0,0.0539524,0,0.00325654,0
376000,sp3,NA,15.4445,0.922044,0,0.488589,0
378000,sp40,sp3,0,0.154366,0,0.0201369,0
380000,sp40,sp3,0,0.0601999,0,0.0404636,0
382000,sp40,sp3,0,0.142572,0,0.0995182,0
384000,sp40,sp3,0,0.0704305,0,0.00704856,0
384000,sp20,NA,11.207,0.0814659,0,0.0298619,0
386000,sp40,sp3,0,0.121357,0,0.0887364,0
386000,sp3,NA,1.23469,0.067882,0,0.068181,0
386000,sp8,NA,15.1981,0.000802352,0,0.842511,0
388000,sp40,sp3,0,0.0906211,0,0.0777725,0
390000,sp40,sp3,0,0.0534866,0,0.0351505,0
390000,sp40,sp41,11.1765,0.285055,0,0.381873,0
392000,sp40,sp3,0,0.231271,0,0.105798,0
394000,sp40,sp3,0,0.106185,0,0.0521078,0
396000,sp40,sp3,0,0.046999,0,0.0437375,0
398000,sp40,sp3,0,0.100471,0,0.032157,0
400000,sp40,sp3,0,0.0605702,0,0.00293155,0
400000,sp3,NA,10.936,1.00166,0,0.0183933,0
402000,sp40,sp3,0,0.102979,0,0.00579714,0
402000,sp19,NA,13.7007,0.0694743,0,0.45613,0
404000,sp40,sp3,0,0.20118,0,0.0652755,0
406000,sp40,sp3,0,0.160254,0,0.0247174,0
408000,sp40,sp3,0,0.42898,0,0.366159,0
410000,sp40,sp3,0,0.229894,0,0.0104524,0
410000,sp3,NA,0.665004,0.0609587,0,0.0763958,0
410000,sp40,sp41,13.6311,0.383189,0,0.018957,0
410000,sp40,sp8,5.61422,0.372792,0,0.271958,0
412000,sp40,sp3,0,0.150278,0,0.0412091,0
414000,sp40,sp3,0,0.145953,0,0.00783774,0
414000,sp3,NA,9.22823,0.397311,0,0.427527,0
416000,sp40,sp3,0,0.135561,0,0.15582,0
416000,sp8,NA,15.2136,0.154774,0,0.292915,0
418000,sp40,sp3,0,0.0400997,0,0.029193,0
420000,sp40,sp3,0,0.0759752,0,0.0787721,0
420000,sp3,NA,12.1475,0.242265,0,0.0221221,0
420000,sp19,NA,11.9127,0.205523,0,0.323677,0
422000,sp40,sp3,0,0.0341225,0,0.0084493,0
424000,sp40,sp3,0,0.206212,0,0.150257,0
426000,sp40,sp3,0,0.358403,0,0.130137,0
428000,sp40,sp3,0,0.138548,0,0.0292987,0
428000,sp19,NA,14.8208,0.159528,0,0.0909917,0
430000,sp40,sp3,0,0.171503,0,0.0303395,0
432000,sp40,sp3,0,0.173111,0,0.0730042,0
434000,sp40,sp3,0,0.08987,0,0.00232199,0
436000,sp40,sp3,0,0.178316,0,0.00694628,0
438000,sp40,sp3,0,0.144174,0,0.0452365,0
440000,sp40,sp3,0,0.110567,0,0.0448226,0
442000,sp40,sp3,0,0.0715621,0,0.0316099,0
444000,sp40,sp3,0,0.0591738,0,0.0123981,0
446000,sp40,sp3,0,0.0916016,0,0.0237457,0
446000,sp8,NA,12.9991,0.0462278,0,0.0291671,0
446000,sp8,NA,15.382,0.499893,0,0.0294637,0
448000,sp40,sp3,0,0.0963492,0,0.0403745,0
448000,sp19,NA,11.6849,0.168797,0,0.0346586,0
448000,sp41,NA,15.3137,0.796517,0,0.419025,0
448000,sp40,sp8,0.0286951,0.0429597,0,0.00241176,0
450000,sp40,sp3,0,0.121642,0,0.092978,0
452000,sp40,sp3,0,0.123105,0,0.00231021,0
454000,sp40,sp3,0,0.0827877,0,0.0530878,0
456000,sp40,sp3,0,0.073811,0,0.0464831,0
458000,sp40,sp3,0,0.144127,0,0.0920561,0
460000,sp40,sp3,0,0.0494522,0,0.0424474,0
460000,sp40,sp41,8.55183,0.512735,0,0.0503155,0
462000,sp40,sp3,0,0.0928126,0,0.103692,0
462000,sp3,NA,9.56114,0.238387,0,0.0298692,0
462000,sp3,NA,14.2592,1.74506,0,0.555941,0
464000,sp40,sp3,0,0.075909,0,0.0262146,0
466000,sp40,sp3,0,0.0732056,0,0.00406366,0
468000,sp40,sp3,0,0.142062,0,0.0330085,0
470000,sp40,sp3,0,0.149495,0,0.0546223,0
472000,sp40,sp3,0,0.306553,0,0.392932,0
474000,sp40,sp3,0,0.0985599,0,0.201342,0
474000,sp40,sp8,1.77273,0.412097,0,0.391241,0
476000,sp40,sp3,0,0.139602,0,0.0723498,0
476000,sp8,NA,10.4715,0.272344,0,0.254933,0
478000,sp40,sp3,0,0.0445204,0,0.0304342,0
480000,sp40,sp3,0,0.0445012,0,0.0198261,0
482000,sp40,sp3,0,0.129688,0,0.0793366,0
482000,sp40,sp8,0.923134,0.155931,0,0.11009,0
484000,sp40,sp3,0,0.05476,0,0.0230855,0
486000,sp40,sp3,0,0.143829,0,0.0264407,0
486000,sp20,NA,14.1004,1.09445,0,0.141233,0
488000,sp40,sp3,0,0.126201,0,0.124792,0
488000,sp8,NA,6.28729,0.00331712,0,0.141642,0
488000,sp19,NA,14.3883,0.0842798,0,0.439914,0
488000,sp40,sp41,9.30116,0.239751,0,0.00891945,0
490000,sp40,sp3,0,0.125782,0,0.05165,0
492000,sp40,sp3,0,0.191369,0,0.00311274,0
494000,sp40,sp3,0,0.0777622,0,0.0107683,0
496000,sp40,sp3,0,0.127479,0,0.0718458,0
498000,sp40,sp3,0,0.11483,0,0.0908967,0
500000,sp40,sp3,0,0.0626283,0,0.00584217,0
500000,sp19,NA,13.4595,0.07134,0,0.0313364,0
502000,sp40,sp3,0,0.138756,0,0.00198347,0
504000,sp40,sp3,0,0.0666921,0,0.115764,0
