generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,sp13,sp14,0,0.0272744,0,0.005,0
2000,sp13,sp14,0,0.0320027,0,0.114453,0
4000,sp13,sp14,0,0.0188839,0,0.00241758,0
6000,sp13,sp14,0,0.0813137,0,0.0758298,0
8000,sp13,sp14,0,0.167015,0,0.197227,0
10000,sp13,sp14,0,0.112169,0,0.00205338,0
10000,sp13,NA,3.30882,0.380351,0,0.164164,0
12000,sp13,sp14,0,0.144545,0,0.0434401,0
14000,sp13,sp14,0,0.0576891,0,0.127018,0
16000,sp13,sp14,0,0.0369341,0,0.0449767,0
16000,sp14,NA,3.88102,0.0203141,0,0.127205,0
18000,sp13,sp14,0,0.0224978,0,0.0157329,0
20000,sp13,sp14,0,0.109819,0,0.180141,0
22000,sp13,sp14,0,0.380744,0,0.063423,0
22000,sp14,NA,0.333538,0.141693,0,0.157934,0
22000,sp13,NA,0.752373,0.0352519,0,0.362261,0
24000,sp13,sp14,0,0.356055,0,0.262687,0
24000,sp14,NA,4.71637,0.173685,0,0.03044,0
26000,sp13,sp14,0,0.0119569,0,0.00198228,0
28000,sp13,sp14,0,0.0664565,0,0.00200639,0
30000,sp13,sp14,0,0.279612,0,0.258634,0
30000,sp14,NA,5.78436,0.0297347,0,0.54652,0
32000,sp13,sp14,0,0.825754,0,0.270157,0
32000,sp14,NA,5.54692,0.313563,0,0.528031,0
32000,sp14,NA,1.30368,0.0586481,0,0.525336,0
32000,sp14,NA,5.57552,0.0465732,0,0.196866,0
32000,sp13,NA,1.46414,0.0473502,0,0.0289279,0
32000,sp13,NA,0.847428,0.0237572,0,0.144951,0
34000,sp13,sp14,0,0.029175,0,0.018283,0
36000,sp13,sp14,0,0.0146504,0,0.111892,0
36000,sp14,NA,5.51316,0.0481351,0,1.01221,0
38000,sp13,sp14,0,0.0240129,0,0.029651,0
40000,sp13,sp14,0,0.0453744,0,0.146629,0
42000,sp13,sp14,0,0.00589376,0,0.00943515,0
42000,sp14,NA,1.7887,0.0149066,0,0.0493681,0
44000,sp13,sp14,0,0.212017,0,0.149486,0
44000,sp14,NA,0.815333,0.00264572,0,0.151024,0
46000,sp13,sp14,0,0.0230744,0,0.128908,0
48000,sp13,sp14,0,0.0529846,0,0.0849365,0
48000,sp14,NA,7.21222,1.0863,0,0.00847978,0
48000,sp13,NA,2.52107,0.109899,0,0.272294,0
50000,sp13,sp14,0,0.342463,0,0.0820122,0
52000,sp13,sp14,0,0.0497513,0,0.112852,0
52000,sp13,NA,6.01269,0.27581,0,0.134362,0
54000,sp13,sp14,0,0.0190629,0,0.0559695,0
56000,sp13,sp14,0,0.131546,0,0.299331,0
58000,sp13,sp14,0,0.0400239,0,0.0239887,0
60000,sp13,sp14,0,0.055545,0,0.0134667,0
62000,sp13,sp14,0,0.112607,0,0.196058,0
64000,sp13,sp14,0,0.0327603,0,0.0401299,0
66000,sp13,sp14,0,0.0462704,0,0.0125518,0
68000,sp13,sp14,0,0.0304208,0,0.176403,0
70000,sp13,sp14,0,0.00784313,0,0.012715,0
72000,sp13,sp14,0,0.10897,0,0.106244,0
74000,sp13,sp14,0,0.169585,0,0.0878335,0
76000,sp13,sp14,0,0.0634379,0,0.0117121,0
78000,sp13,sp14,0,0.112664,0,0.117137,0
80000,sp13,sp14,0,0.319353,0,0.151043,0
80000,sp13,NA,0.155723,0.148734,0,0.319307,0
82000,sp13,sp14,0,0.113883,0,0.0891162,0
84000,sp13,sp14,0,0.116561,0,0.127734,0
86000,sp13,sp14,0,0.194887,0,0.102848,0
86000,sp14,NA,3.51519,0.0023768,0,0.0747362,0
88000,sp13,sp14,0,0.187692,0,0.0530979,0
88000,sp14,NA,7.20568,0.292409,0,0.0361136,0
90000,sp13,sp14,0,0.0467707,0,0.136634,0
92000,sp13,sp14,0,0.160908,0,0.0731138,0
92000,sp13,NA,5.21905,0.662017,0,0.25514,0
94000,sp13,sp14,0,0.0191881,0,0.0312107,0
96000,sp13,sp14,0,0.0612491,0,0.0682169,0
96000,sp14,NA,0.890158,0.439105,0,0.172541,0
98000,sp13,sp14,0,0.0491476,0,0.0178641,0
98000,sp14,NA,7.53329,0.392135,0,0.160629,0
98000,sp14,NA,4.30796,0.202691,0,0.239767,0
98000,sp14,NA,2.6231,0.196337,0,0.755621,0
98000,sp14,NA,6.98913,0.265025,0,0.123598,0
100000,sp13,sp14,0,0.109901,0,0.054898,0
100000,sp13,NA,3.38371,0.0342083,0,0.522424,0
102000,sp13,sp14,0,0.381295,0,0.259002,0
102000,sp14,NA,1.69035,0.00252201,0,0.118717,0
102000,sp13,NA,4.83491,0.0981173,0,0.116426,0
102000,sp13,NA,5.63487,0.297944,0,0.182237,0
102000,sp13,NA,7.34265,0.0423876,0,0.295731,0
104000,sp13,sp14,0,0.0913112,0,0.0191985,0
106000,sp13,sp14,0,0.128231,0,0.0938252,0
108000,sp13,sp14,0,0.0569195,0,0.105943,0
110000,sp13,sp14,0,0.0532858,0,0.015271,0
112000,sp13,sp14,0,0.0931045,0,0.0113292,0
114000,sp13,sp14,0,0.0148106,0,0.061541,0
116000,sp13,sp14,0,0.0794759,0,0.0492318,0
118000,sp13,sp14,0,0.0140325,0,0.119357,0
118000,sp13,NA,7.38942,0.227779,0,0.0879208,0
120000,sp13,sp14,0,0.0996199,0,0.107241,0
122000,sp13,sp14,0,0.0435519,0,0.0108527,0
124000,sp13,sp14,0,0.0637282,0,0.143381,0
126000,sp13,sp14,0,0.0417121,0,0.0229983,0
128000,sp13,sp14,0,0.0129947,0,0.0378523,0
130000,sp13,sp14,0,0.0701506,0,0.0466999,0
132000,sp13,sp14,0,0.0149622,0,0.0485404,0
134000,sp13,sp14,0,0.0436365,0,0.029454,0
136000,sp13,sp14,0,0.0639553,0,0.0403155,0
138000,sp13,sp14,0,0.108117,0,0.0221079,0
140000,sp13,sp14,0,0.0859349,0,0.230018,0
140000,sp14,NA,3.40727,0.0450091,0,0.00564082,0
142000,sp13,sp14,0,0.0759602,0,0.00529144,0
142000,sp13,NA,4.07422,0.133094,0,0.450263,0
144000,sp13,sp14,0,0.0444488,0,0.174396,0
144000,sp14,NA,6.09761,0.374601,0,0.311616,0
144000,sp13,NA,6.15951,0.0485166,0,0.302743,0
146000,sp13,sp14,0,0.0574297,0,0.0378709,0
148000,sp13,sp14,0,0.159376,0,0.0176185,0
150000,sp13,sp14,0,0.0350113,0,0.0331829,0
150000,sp13,NA,4.17856,0.203094,0,0.0007847,0
152000,sp13,sp14,0,0.377154,0,0.177546,0
152000,sp14,NA,1.67409,0.117337,0,0.0804004,0
152000,sp13,NA,1.0681,0.0802841,0,0.104116,0
154000,sp13,sp14,0,0.0920016,0,0.0161855,0
154000,sp13,NA,3.38444,0.361372,0,0.140243,0
156000,sp13,sp14,0,0.0134037,0,0.044055,0
158000,sp13,sp14,0,0.00256903,0,0.0344756,0
158000,sp14,NA,6.39354,0.181971,0,0.202982,0
158000,sp13,NA,7.49869,0.00168451,0,0.0951098,0
160000,sp13,sp14,0,0.0120092,0,0.0339022,0
160000,sp13,NA,6.56285,0.00871488,0,0.0632827,0
162000,sp13,sp14,0,0.0256045,0,0.268191,0
162000,sp14,NA,1.95586,0.217216,0,0.0947524,0
162000,sp13,NA,4.75208,0.369368,0,0.0897562,0
162000,sp14,NA,7.62115,0.130966,0,0.592291,0
164000,sp13,sp14,0,0.16453,0,0.0123643,0
166000,sp13,sp14,0,0.0961757,0,0.0733849,0
168000,sp13,sp14,0,0.18323,0,0.250514,0
168000,sp13,NA,6.80453,0.535282,0,0.0318305,0
170000,sp13,sp14,0,0.0568009,0,0.0381711,0
172000,sp13,sp14,0,0.0341848,0,0.0783052,0
174000,sp13,sp14,0,0.0967327,0,0.168371,0
176000,sp13,sp14,0,0.0159861,0,0.242989,0
176000,sp14,NA,1.23189,0.261093,0,0.172172,0
178000,sp13,sp14,0,0.00889895,0,0.147769,0
180000,sp13,sp14,0,0.0311986,0,0.210507,0
180000,sp13,NA,0.901884,0.00889971,0,0.230567,0
182000,sp13,sp14,0,0.00242068,0,0.0390171,0
184000,sp13,sp14,0,0.00373307,0,0.0250349,0
186000,sp13,sp14,0,0.209022,0,0.00430763,0
188000,sp13,sp14,0,0.0841543,0,0.130994,0
190000,sp13,sp14,0,0.0207701,0,0.0136974,0
192000,sp13,sp14,0,0.0103384,0,0.0223625,0
194000,sp13,sp14,0,0.377832,0,0.233226,0
196000,sp13,sp14,0,0.0505306,0,0.00377537,0
198000,sp13,sp14,0,0.254113,0,0.0712588,0
200000,sp13,sp14,0,0.47246,0,0.201499,0
202000,sp13,sp14,0,0.00209971,0,0.00714269,0
204000,sp13,sp14,0,0.224074,0,0.0882526,0
206000,sp13,sp14,0,0.0410569,0,0.144967,0
