generation,N_shifts,logPrior,logLik,eventRate,acceptRate
240000,0,-0.935372,-2.69205,0.935372,0.632
242000,0,-0.209634,-1.53169,0.209634,0.597
244000,0,-0.675541,-1.13515,0.675541,0.6245
246000,0,-0.445653,-1.51355,0.445653,0.5885
248000,0,-0.421341,-0.243595,0.421341,0.622
250000,0,-0.740423,-2.13214,0.740423,0.612
252000,0,-0.61937,-1.18065,0.61937,0.6255
254000,7,3.33687,-4.29117,4.07142,0.6435
256000,0,-0.926376,-1.15708,0.926376,0.64
258000,0,-0.965064,-1.8608,0.965064,0.601
260000,0,-0.191989,-0.438499,0.191989,0.647
262000,0,-0.627735,-1.11472,0.627735,0.6135
264000,0,-0.947068,-3.03291,0.947068,0.582
266000,2,2.98276,-0.865979,0.577274,0.591
268000,0,-0.852817,-2.5815,0.852817,0.6525
270000,0,-0.0141568,-2.91093,0.0141568,0.6345
272000,1,1.52744,-1.66,0.644958,0.6315
274000,0,-0.0503044,-2.16118,0.0503044,0.6355
276000,0,-0.0733947,-0.668827,0.0733947,0.647
278000,0,-0.410019,-1.19379,0.410019,0.63
280000,1,1.58385,-3.02505,0.422692,0.6335
282000,0,-0.768579,-2.30921,0.768579,0.596
284000,0,-0.172914,-1.61592,0.172914,0.675
286000,0,-0.390094,-0.390955,0.390094,0.69
288000,0,-0.0796111,-1.89335,0.0796111,0.591
290000,0,-0.0678099,-0.66294,0.0678099,0.6025
292000,0,-0.835225,-0.477113,0.835225,0.5865
294000,1,-1.11555,-1.45486,0.816233,0.676
296000,0,-0.286106,-1.43941,0.286106,0.6225
298000,5,0.872028,-2.91885,3.01425,0.599
300000,1,1.44405,-2.4601,0.864733,0.6565
302000,1,-1.87357,-0.562405,1.41496,0.646
304000,0,-0.220797,-1.18803,0.220797,0.5875
306000,1,0.770544,-3.72116,0.76756,0.656
308000,1,1.33114,-2.60776,0.471482,0.637
310000,2,3.14726,-2.49893,0.950646,0.7225
312000,2,1.74571,-1.59807,0.203385,0.6515
314000,1,-1.70071,-1.86062,1.74757,0.6625
316000,3,2.1904,-2.10698,3.26179,0.649
318000,0,-1.14916,-1.61926,1.14916,0.625
320000,0,-0.390295,-1.55179,0.390295,0.6185
322000,0,-0.284006,-1.59518,0.284006,0.658
324000,1,-0.49429,-4.34766,1.41356,0.5805
326000,1,1.12216,-2.61277,1.12543,0.593
328000,0,-0.121137,-0.335465,0.121137,0.648
330000,1,1.09082,-4.26971,1.09947,0.647
332000,0,-0.686234,-3.17684,0.686234,0.6585
334000,0,-0.0813387,-2.37911,0.0813387,0.5755
336000,0,-0.0469459,-2.59276,0.0469459,0.578
338000,1,1.64065,-1.1684,0.519994,0.642
340000,0,-0.00998767,-0.661452,0.00998767,0.6215
342000,0,-0.286471,-3.14392,0.286471,0.5995
344000,1,-4.44324,-3.8077,2.38166,0.6235
346000,2,2.29464,-2.34833,0.454672,0.6435
348000,3,3.69609,-2.37543,2.19846,0.627
350000,1,-0.628267,-1.60268,0.241143,0.6425
352000,1,0.528361,-1.18929,1.38629,0.646
354000,2,0.810252,-3.02257,1.68237,0.656
356000,0,-0.823487,-3.12839,0.823487,0.5825
358000,1,-3.82941,-4.04017,1.8194,0.617
360000,1,0.886331,-1.26342,0.293813,0.6345
362000,0,-0.682021,-2.59907,0.682021,0.665
364000,0,-0.038031,-0.219884,0.038031,0.675
366000,2,-0.44697,-2.7206,1.9442,0.613
368000,4,-0.596805,-3.91568,2.79277,0.667
370000,0,-0.160332,-3.08487,0.160332,0.623
372000,0,-0.175478,-2.63502,0.175478,0.7165
374000,0,-0.0694383,-1.19834,0.0694383,0.6055
376000,0,-0.359275,-0.955574,0.359275,0.6385
378000,0,-0.0654156,-1.01327,0.0654156,0.5925
380000,0,-0.00638196,-0.42935,0.00638196,0.6275
382000,1,0.459763,-1.57399,0.383214,0.6515
384000,7,3.24647,-2.83541,5.74715,0.74
386000,1,1.75202,-3.05747,0.196859,0.6375
388000,1,-1.26681,-2.33841,0.677059,0.5945
390000,2,-1.40046,-2.42174,1.76374,0.623
392000,0,-0.238307,-1.69996,0.238307,0.5975
394000,0,-0.144015,-4.68812,0.144015,0.6585
396000,1,1.85573,-3.1418,0.241749,0.6025
398000,1,1.18558,-3.87758,0.340467,0.6885
400000,1,1.12986,-2.74079,0.41775,0.603
402000,1,-5.23685,-2.78926,1.09457,0.627
404000,0,-4.25049,-1.98646,4.25049,0.5965
406000,0,-0.125662,-0.872753,0.125662,0.626
408000,0,-0.69603,-1.75304,0.69603,0.622
410000,0,-1.03826,-1.85282,1.03826,0.6475
412000,2,0.740433,-4.95407,3.23931,0.6045
414000,0,-0.0135891,-1.09919,0.0135891,0.6065
416000,0,-0.524946,-3.41987,0.524946,0.591
418000,0,-0.234702,-1.12273,0.234702,0.623
420000,0,-0.920817,-2.30157,0.920817,0.6875
422000,2,1.68689,-2.99652,2.67638,0.5975
424000,2,1.86197,-4.90988,0.178893,0.669
426000,0,-0.0424085,-0.509864,0.0424085,0.6575
428000,1,1.66,-1.79969,0.372687,0.602
430000,0,-0.330328,-1.50346,0.330328,0.634
432000,0,-0.34432,-1.06436,0.34432,0.6425
434000,0,-0.161221,-0.493689,0.161221,0.578
436000,3,0.325203,-2.02229,1.0775,0.695
438000,1,0.305582,-4.98462,0.869157,0.597
440000,1,1.37124,-2.52201,1.13931,0.6425
442000,0,-0.344139,-2.22092,0.344139,0.659
444000,0,-0.139968,-4.01828,0.139968,0.6405
446000,0,-0.294239,-2.26103,0.294239,0.6145
448000,0,-0.600466,-2.92986,0.600466,0.673
450000,0,-0.412387,-1.04633,0.412387,0.62
