generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,sp31,sp9,0,0.0420901,0,0.005,0
2000,sp31,sp9,0,0.14946,0,0.104651,0
4000,sp31,sp9,0,0.0464173,0,0.0118061,0
6000,sp31,sp9,0,0.116948,0,0.117783,0
8000,sp31,sp9,0,0.218253,0,0.0359176,0
10000,sp31,sp9,0,0.339825,0,0.117139,0
12000,sp31,sp9,0,0.0969645,0,0.108268,0
14000,sp31,sp9,0,0.0440663,0,0.00107797,0
14000,sp31,sp32,6.71892,0.889297,0,0.226713,0
16000,sp31,sp9,0,0.168256,0,0.345678,0
16000,sp31,sp32,2.04776,0.134058,0,0.0747532,0
18000,sp31,sp9,0,0.0197156,0,0.0126977,0
20000,sp31,sp9,0,0.294069,0,0.114518,0
22000,sp31,sp9,0,0.216506,0,0.00717196,0
22000,sp9,NA,2.47366,0.0302848,0,0.0594295,0
24000,sp31,sp9,0,0.0155056,0,0.0621396,0
26000,sp31,sp9,0,0.0482176,0,0.0326534,0
26000,sp32,NA,8.2649,0.526864,0,0.0806928,0
28000,sp31,sp9,0,0.058733,0,0.123643,0
30000,sp31,sp9,0,0.0503967,0,0.1166,0
32000,sp31,sp9,0,0.231737,0,0.317506,0
34000,sp31,sp9,0,0.0511003,0,0.120949,0
34000,sp9,NA,9.11112,0.202176,0,0.153086,0
34000,sp9,NA,3.49316,0.0146332,0,0.253219,0
34000,sp31,sp32,6.92156,0.344214,0,0.0625644,0
36000,sp31,sp9,0,0.453566,0,0.0673484,0
38000,sp31,sp9,0,0.00128265,0,0.270491,0
38000,sp31,sp32,4.04084,0.59111,0,0.354441,0
40000,sp31,sp9,0,0.25205,0,0.211441,0
40000,sp31,sp32,3.40592,0.0922387,0,0.0123498,0
40000,sp31,sp32,6.60404,0.258452,0,0.449659,0
42000,sp31,sp9,0,0.026771,0,0.0385996,0
44000,sp31,sp9,0,0.200715,0,0.0701502,0
46000,sp31,sp9,0,0.0421179,0,0.0144613,0
48000,sp31,sp9,0,0.163018,0,0.0946909,0
50000,sp31,sp9,0,0.107025,0,0.0574833,0
52000,sp31,sp9,0,0.0374758,0,0.0114161,0
54000,sp31,sp9,0,0.0874788,0,0.105631,0
56000,sp31,sp9,0,0.0568757,0,0.125369,0
58000,sp31,sp9,0,0.133305,0,0.443454,0
60000,sp31,sp9,0,0.0375371,0,0.00549405,0
62000,sp31,sp9,0,0.136155,0,0.0120507,0
64000,sp31,sp9,0,0.10106,0,0.0494444,0
66000,sp31,sp9,0,0.182359,0,0.0433989,0
66000,sp9,NA,8.10498,0.520848,0,0.155,0
66000,sp9,NA,4.91874,0.0056765,0,0.00626981,0
68000,sp31,sp9,0,0.0379478,0,0.138497,0
68000,sp31,NA,8.40029,0.18571,0,0.194537,0
70000,sp31,sp9,0,0.0831451,0,0.0457035,0
72000,sp31,sp9,0,0.431662,0,0.14776,0
72000,sp9,NA,5.3686,0.0383412,0,0.0837465,0
74000,sp31,sp9,0,0.187163,0,0.091301,0
76000,sp31,sp9,0,0.368209,0,0.26546,0
78000,sp31,sp9,0,0.207572,0,0.0795938,0
80000,sp31,sp9,0,0.0469447,0,0.0576452,0
82000,sp31,sp9,0,0.283249,0,0.0650112,0
82000,sp9,NA,3.99724,0.206135,0,0.368932,0
82000,sp31,sp32,7.40161,0.585789,0,0.375609,0
84000,sp31,sp9,0,0.0179875,0,0.0983651,0
84000,sp9,NA,2.27267,0.0289475,0,0.105301,0
86000,sp31,sp9,0,0.100414,0,0.0646546,0
88000,sp31,sp9,0,0.182654,0,0.0406026,0
90000,sp31,sp9,0,0.0333333,0,0.00300364,0
92000,sp31,sp9,0,0.0197659,0,0.0606448,0
94000,sp31,sp9,0,0.130071,0,0.136755,0
96000,sp31,sp9,0,0.203111,0,0.0507122,0
98000,sp31,sp9,0,0.14927,0,0.0102108,0
100000,sp31,sp9,0,0.0400741,0,0.0282308,0
102000,sp31,sp9,0,0.0553467,0,0.0428905,0
104000,sp31,sp9,0,0.251438,0,0.422308,0
106000,sp31,sp9,0,0.301545,0,0.0740365,0
108000,sp31,sp9,0,0.121197,0,0.114484,0
110000,sp31,sp9,0,0.0379873,0,0.174398,0
110000,sp9,NA,4.68058,0.206742,0,0.0754543,0
112000,sp31,sp9,0,0.222087,0,0.235738,0
114000,sp31,sp9,0,0.0500364,0,0.0989802,0
116000,sp31,sp9,0,0.0345985,0,0.0114564,0
118000,sp31,sp9,0,0.16338,0,0.022238,0
118000,sp9,NA,3.24732,0.0506281,0,0.504414,0
120000,sp31,sp9,0,0.166378,0,0.0844007,0
122000,sp31,sp9,0,0.0675195,0,0.0975476,0
124000,sp31,sp9,0,0.116641,0,0.0317594,0
126000,sp31,sp9,0,0.298386,0,0.112088,0
126000,sp9,NA,3.76283,0.193246,0,0.178861,0
128000,sp31,sp9,0,0.0670303,0,0.0850005,0
130000,sp31,sp9,0,0.13663,0,0.176254,0
132000,sp31,sp9,0,0.0673359,0,0.0256122,0
134000,sp31,sp9,0,0.12997,0,0.0144213,0
134000,sp9,NA,5.94731,0.0900782,0,0.0670894,0
134000,sp31,NA,8.82199,0.165199,0,0.739992,0
136000,sp31,sp9,0,0.192201,0,0.168391,0
138000,sp31,sp9,0,0.0172916,0,0.0330966,0
140000,sp31,sp9,0,0.248486,0,0.163468,0
142000,sp31,sp9,0,0.0482744,0,0.00923192,0
142000,sp9,NA,3.57733,0.258442,0,0.206228,0
144000,sp31,sp9,0,0.0633362,0,0.0107898,0
144000,sp9,NA,9.05484,0.392117,0,0.0368612,0
144000,sp32,NA,8.5004,0.299151,0,0.415909,0
146000,sp31,sp9,0,0.1808,0,0.0768345,0
148000,sp31,sp9,0,0.152492,0,0.0383018,0
150000,sp31,sp9,0,0.0445678,0,0.144624,0
152000,sp31,sp9,0,0.062742,0,0.0537878,0
154000,sp31,sp9,0,0.126558,0,0.00927583,0
156000,sp31,sp9,0,0.326758,0,0.25077,0
156000,sp9,NA,9.02263,0.064132,0,0.596191,0
158000,sp31,sp9,0,0.164777,0,0.0438749,0
160000,sp31,sp9,0,0.0250973,0,0.0102785,0
162000,sp31,sp9,0,0.136601,0,0.00373212,0
164000,sp31,sp9,0,0.0914477,0,0.0311631,0
166000,sp31,sp9,0,0.187714,0,0.0327785,0
168000,sp31,sp9,0,0.0786332,0,0.0337007,0
170000,sp31,sp9,0,0.177567,0,0.00775218,0
172000,sp31,sp9,0,0.286131,0,0.0702633,0
174000,sp31,sp9,0,0.0626521,0,0.0282972,0
176000,sp31,sp9,0,0.106381,0,0.0316502,0
176000,sp9,NA,1.13035,0.0191187,0,0.0722267,0
178000,sp31,sp9,0,0.0650463,0,0.055419,0
178000,sp31,sp32,5.63095,0.154476,0,0.110389,0
180000,sp31,sp9,0,0.0448891,0,0.0204177,0
182000,sp31,sp9,0,0.00900434,0,0.0167444,0
184000,sp31,sp9,0,0.0672568,0,0.269991,0
184000,sp31,sp32,5.977,0.465464,0,0.305023,0
184000,sp31,sp32,4.7767,0.284032,0,0.0644673,0
186000,sp31,sp9,0,0.0752058,0,0.0217225,0
188000,sp31,sp9,0,0.122234,0,0.0278605,0
188000,sp9,NA,7.39413,0.457678,0,0.0027758,0
190000,sp31,sp9,0,0.111326,0,0.133058,0
192000,sp31,sp9,0,0.200091,0,0.0836944,0
194000,sp31,sp9,0,0.362128,0,0.213302,0
196000,sp31,sp9,0,0.0181869,0,0.00432484,0
198000,sp31,sp9,0,0.145193,0,0.273438,0
200000,sp31,sp9,0,0.163615,0,0.0028352,0
200000,sp31,NA,7.44627,0.017008,0,0.188324,0
202000,sp31,sp9,0,0.211058,0,0.257573,0
204000,sp31,sp9,0,0.0100695,0,0.015182,0
204000,sp9,NA,5.16558,0.128692,0,0.117623,0
204000,sp31,sp32,5.42143,0.623178,0,0.579854,0
206000,sp31,sp9,0,0.0990341,0,0.071474,0
208000,sp31,sp9,0,0.266106,0,0.180699,0
208000,sp32,NA,8.38071,0.158282,0,0.145598,0
210000,sp31,sp9,0,0.0755983,0,0.0528368,0
210000,sp9,NA,3.23934,0.384777,0,0.115512,0
212000,sp31,sp9,0,0.234936,0,0.0746615,0
212000,sp9,NA,3.09804,0.419636,0,0.0343764,0
212000,sp9,NA,6.73309,0.183563,0,0.0414222,0
212000,sp9,NA,7.14249,0.503355,0,1.95711,0
214000,sp31,sp9,0,0.147195,0,0.0136592,0
214000,sp9,NA,4.7592,0.0121936,0,0.170129,0
216000,sp31,sp9,0,0.128409,0,0.0377064,0
218000,sp31,sp9,0,0.00534585,0,0.0108386,0
220000,sp31,sp9,0,0.183693,0,0.166237,0
222000,sp31,sp9,0,0.384574,0,0.335147,0
224000,sp31,sp9,0,0.0660989,0,0.145428,0
224000,sp9,NA,1.61425,0.00987027,0,0.00173812,0
226000,sp31,sp9,0,0.2086,0,0.139209,0
228000,sp31,sp9,0,0.242311,0,0.160021,0
230000,sp31,sp9,0,0.147368,0,0.166303,0
230000,sp32,NA,9.04642,1.80681,0,0.488875,0
232000,sp31,sp9,0,0.311394,0,0.437047,0
