generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1,-4.16481,1,1
2000,0,-0.0938797,-5.44817,0.0938797,0.6165
4000,0,-1.06388,-4.23762,1.06388,0.558
6000,0,-0.197261,-5.47049,0.197261,0.598
8000,0,-0.291472,-5.83025,0.291472,0.647
10000,0,-1.02413,-7.29226,1.02413,0.5845
12000,0,-0.550402,-5.3638,0.550402,0.65
14000,1,-2.09056,-4.34773,1.08427,0.5905
16000,1,0.87278,-7.00476,0.519934,0.6005
18000,0,-0.359485,-4.6567,0.359485,0.56
20000,0,-1.79067,-6.74111,1.79067,0.5985
22000,1,1.08272,-4.69119,0.624936,0.543
24000,0,-2.42074,-5.72171,2.42074,0.6215
26000,1,-1.29195,-4.97885,1.63022,0.6165
28000,0,-0.181974,-5.77058,0.181974,0.5975
30000,0,-0.207556,-5.75902,0.207556,0.6885
32000,0,-0.808805,-7.44247,0.808805,0.61
34000,3,0.698497,-5.29335,2.41273,0.678
36000,0,-0.183364,-9.23031,0.183364,0.6035
38000,1,-1.25989,-7.9809,0.70436,0.5915
40000,2,0.874532,-6.51441,0.866148,0.6255
42000,0,-1.07202,-4.89561,1.07202,0.5925
44000,0,-0.0425928,-5.67276,0.0425928,0.5355
46000,0,-0.0116289,-4.29894,0.0116289,0.6345
48000,0,-0.0596621,-5.4575,0.0596621,0.6075
50000,0,-0.871616,-4.84911,0.871616,0.577
52000,0,-0.25177,-4.29269,0.25177,0.602
54000,0,-0.158739,-5.34666,0.158739,0.573
56000,0,-0.119296,-5.81749,0.119296,0.6025
58000,0,-0.690729,-10.0082,0.690729,0.5465
60000,0,-0.0239265,-4.20478,0.0239265,0.609
62000,0,-0.379482,-4.76771,0.379482,0.6565
64000,0,-0.479941,-4.74708,0.479941,0.58
66000,2,-1.97658,-5.21649,4.04756,0.588
68000,1,-0.198372,-6.52595,1.13774,0.604
70000,0,-0.201294,-4.64497,0.201294,0.567
72000,1,0.973366,-7.1527,0.648679,0.601
74000,0,-0.157095,-5.62085,0.157095,0.6165
76000,0,-0.090426,-7.48937,0.090426,0.572
78000,0,-0.781106,-5.76836,0.781106,0.54
80000,0,-0.506007,-4.89056,0.506007,0.6235
82000,2,-3.91263,-6.10249,3.73938,0.6225
84000,1,-0.494092,-6.33317,2.08398,0.6745
86000,0,-0.427612,-4.89149,0.427612,0.5735
88000,0,-1.65139,-5.39724,1.65139,0.5595
90000,0,-1.03484,-4.21078,1.03484,0.5495
92000,0,-0.0217622,-5.49647,0.0217622,0.606
94000,0,-0.628733,-5.6794,0.628733,0.631
96000,0,-1.9037,-5.65635,1.9037,0.5595
98000,0,-0.0165864,-4.91132,0.0165864,0.602
100000,0,-0.662083,-4.51761,0.662083,0.5535
102000,0,-0.0717669,-4.62435,0.0717669,0.612
104000,0,-0.779907,-8.55579,0.779907,0.588
106000,0,-0.634372,-6.89857,0.634372,0.6015
108000,0,-0.183081,-5.4416,0.183081,0.5715
110000,1,0.250253,-7.18678,0.9484,0.608
112000,0,-1.25699,-6.69414,1.25699,0.624
114000,0,-2.40652,-5.4869,2.40652,0.6435
116000,0,-0.218464,-4.3241,0.218464,0.6525
118000,1,-0.352397,-6.17999,0.829534,0.5715
120000,0,-0.125256,-5.42052,0.125256,0.621
122000,0,-0.231785,-5.3167,0.231785,0.619
124000,0,-0.179398,-4.69924,0.179398,0.575
126000,1,0.533638,-6.2137,0.427252,0.644
128000,0,-1.53799,-5.14598,1.53799,0.5395
130000,0,-0.0461892,-6.10133,0.0461892,0.608
132000,0,-0.638895,-4.38843,0.638895,0.568
134000,2,-1.42797,-4.81207,2.50845,0.544
136000,0,-0.16876,-6.10364,0.16876,0.5805
138000,0,-1.71855,-5.10874,1.71855,0.5715
140000,0,-1.55408,-6.38371,1.55408,0.582
142000,1,-0.299367,-5.38371,1.01549,0.58
